,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14
22,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,7,0,1,1,0,2,4,3,5,0,-1,1,2,2,2,2,2,0,0,0,0,0,2,2,2
23,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,6,0,1,1,0,3,0,3,5,0,-1,2,1,1,0,2,1,2,2,1,2,1,2,0,0
24,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,0,0,1,1,0,3,0,4,0,0,-1,2,0,1,0,2,0,0,2,0,1,1,2,1,1
25,0,1,1,3,4,0,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,0,1,1,0,1,1,0,3,0,4,0,0,-1,0,2,0,0,0,0,0,2,1,2,0,1,2,2
26,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,4,5,0,1,1,0,3,0,3,5,0,-1,2,2,0,2,0,2,0,1,0,2,0,2,1,1
27,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,3,1,0,1,1,0,2,4,3,5,0,-1,0,1,1,1,2,2,2,2,1,2,2,2,1,0
28,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,5,0,1,1,0,3,0,4,0,0,-1,1,1,1,0,1,2,1,0,1,1,2,1,2,1
29,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,3,0,0,1,1,0,2,4,3,5,0,-1,1,0,2,2,2,1,0,2,1,2,0,1,2,0
30,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,3,5,1,0,1,1,0,3,0,4,0,0,-1,2,0,2,2,2,1,1,1,2,1,2,0,2,1
31,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,6,4,0,1,1,0,2,4,5,4,0,-1,2,1,0,1,0,2,2,0,2,2,2,0,1,0
32,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,3,0,1,1,0,2,4,3,5,0,-1,1,1,2,0,1,1,1,0,2,1,2,2,1,2
33,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,3,2,0,0,1,1,0,3,0,4,0,0,-1,1,1,1,0,2,1,0,1,0,0,2,1,1,2
34,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,3,3,0,1,1,0,3,0,4,0,0,-1,1,0,2,1,1,1,0,1,1,2,0,2,0,1
35,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,5,0,1,1,0,2,4,3,5,0,-1,1,2,0,0,1,0,2,1,1,2,0,1,2,0
36,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,1,6,0,1,1,0,3,0,4,0,0,-1,2,1,2,2,1,1,2,2,2,2,0,1,0,2
37,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,1,1,0,3,0,4,0,0,-1,1,1,2,2,2,0,1,1,2,2,2,0,0,1
38,0,1,1,1,3,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,7,0,1,1,0,2,4,3,5,0,-1,2,1,1,2,1,1,1,1,0,2,1,2,0,2
39,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,1,3,0,0,1,1,0,2,4,3,5,0,-1,0,2,2,2,0,2,1,2,0,2,2,1,0,0
40,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,1,3,2,0,1,1,0,2,4,3,5,0,-1,1,2,2,1,1,0,0,1,2,2,1,1,2,1
41,0,1,1,1,1,4,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,6,3,0,1,1,0,2,4,3,5,0,-1,1,2,1,1,0,2,1,2,0,0,0,1,2,2
42,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,0,0,1,1,0,2,4,5,4,0,-1,0,0,2,1,0,0,0,0,0,1,0,1,2,0
43,0,1,1,3,4,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,1,1,0,1,1,0,2,4,3,5,0,-1,2,0,0,0,0,0,2,0,0,1,0,2,0,2
44,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,3,0,1,1,0,2,4,3,5,0,-1,0,2,2,1,0,1,2,0,2,0,1,1,2,1
45,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,1,1,0,2,4,3,5,0,-1,0,2,0,2,1,2,1,2,2,1,2,2,0,1
46,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,3,0,1,1,0,2,4,3,5,0,-1,1,1,1,1,0,1,0,0,2,1,1,1,0,1
47,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,2,3,0,1,1,0,2,4,3,5,0,-1,2,0,0,0,1,2,1,2,1,0,0,0,2,2
48,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,4,6,0,1,1,0,2,4,5,4,0,-1,1,1,0,2,2,1,2,1,2,1,0,1,1,1
49,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,1,1,0,2,4,5,4,0,-1,1,1,0,1,2,0,2,2,2,1,0,0,1,1
50,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,6,0,0,1,1,0,2,4,5,4,0,-1,2,1,2,2,1,1,0,1,2,1,1,0,0,0
51,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,3,1,0,1,1,0,2,4,5,4,0,-1,1,0,1,0,1,1,2,0,1,2,1,1,1,0
52,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,2,5,2,1,0,1,1,0,2,4,5,4,0,-1,1,2,2,1,0,2,0,1,0,1,2,1,1,1
53,0,1,1,1,1,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,5,4,1,0,1,1,0,3,0,4,0,0,-1,1,0,2,1,2,0,0,1,2,2,0,1,1,2
54,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,2,7,0,1,1,0,2,4,3,5,0,-1,0,2,2,2,2,2,2,1,2,1,0,0,1,2
55,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,0,0,0,1,1,0,2,4,5,4,0,-1,2,1,0,0,1,0,0,2,2,1,1,2,1,2
56,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,1,1,0,2,4,3,5,0,-1,2,0,1,1,0,0,2,2,2,0,1,1,1,0
57,0,1,1,1,1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,1,1,4,2,0,1,1,0,3,0,4,0,0,-1,2,1,2,1,0,0,2,0,1,2,0,1,1,1
58,0,1,1,1,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,1,5,4,0,1,1,0,2,4,5,4,0,-1,1,2,1,1,0,0,0,1,0,2,1,1,2,2
59,0,1,2,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,1,0,1,0,1,1,2,0,-1,1,2,1,2,1,1,0,2,0,2,2,0,1,2
60,0,0,2,2,0,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,0,0,3,4,2,6,3,0,-1,2,1,0,0,0,2,1,0,1,2,0,1,0,1
61,0,0,0,2,0,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,0,0,2,1,2,6,3,0,-1,0,1,2,1,1,2,2,2,1,1,1,0,1,2
62,0,1,2,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,1,0,1,0,1,1,2,0,-1,2,1,1,0,2,1,0,2,1,2,0,0,1,2
63,0,1,2,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,1,0,1,0,1,1,2,0,-1,2,2,2,1,1,1,0,0,1,2,2,1,0,1
64,0,1,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,1,0,3,4,3,2,7,0,-1,1,2,2,0,1,0,2,0,1,1,2,0,2,0
65,0,1,2,3,4,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,1,1,4,0,1,0,1,0,1,1,2,0,-1,1,2,2,0,2,1,2,2,1,1,0,0,0,0
66,0,1,2,2,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,1,0,1,0,1,1,2,0,-1,1,1,1,0,2,1,1,1,2,1,1,0,0,0
67,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,0,0,1,0,1,0,1,1,2,0,-1,0,2,0,0,1,0,1,0,1,1,0,1,1,2
68,0,0,2,2,0,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,0,0,3,4,2,6,3,0,-1,1,0,1,1,2,2,2,0,2,0,0,2,2,0
69,0,1,2,3,3,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,3,1,4,0,1,1,1,2,4,3,5,1,-1,0,0,0,0,0,0,1,0,0,0,1,2,0,2
70,0,0,2,2,0,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,0,0,3,4,2,6,6,0,-1,2,1,0,1,1,1,1,0,0,1,0,1,2,0
71,0,1,2,3,4,0,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,1,0,0,3,0,1,2,0,-1,1,0,1,1,1,1,2,2,0,1,0,2,0,0
72,0,1,2,2,3,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,1,0,1,0,1,1,2,0,-1,2,2,1,0,1,2,2,2,2,2,2,1,1,0
73,0,1,1,3,4,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,3,0,0,1,1,0,3,0,4,0,0,-1,1,0,2,2,2,0,0,2,0,1,2,2,1,1
74,0,1,2,3,3,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,1,6,4,0,1,0,1,0,1,1,2,0,-1,2,2,0,2,0,2,2,0,1,1,1,1,0,2
75,0,1,2,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,1,0,1,0,1,1,2,0,-1,0,1,1,2,0,1,1,2,2,0,2,1,2,2
76,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,1,0,1,0,1,1,2,0,-1,2,1,0,0,0,2,2,1,0,0,1,1,0,2
77,0,0,2,2,0,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,2,4,0,0,0,3,4,2,6,3,0,-1,1,0,0,1,2,2,0,1,0,2,1,1,2,2
78,0,1,2,3,3,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,1,1,0,2,4,3,5,1,-1,2,1,1,0,2,0,2,2,1,2,1,0,2,0
79,0,1,2,3,4,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,4,0,2,0,1,0,1,0,1,1,2,0,-1,0,1,0,0,1,1,2,2,0,1,0,0,2,0
80,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,6,2,0,1,0,1,0,1,1,2,0,-1,1,0,1,2,0,2,1,2,2,0,2,1,0,0
81,0,1,2,2,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,5,7,0,1,0,1,0,1,1,2,0,-1,2,0,1,2,1,0,0,0,1,0,1,2,0,1
82,0,1,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,4,5,0,0,1,0,3,4,3,2,7,0,-1,1,0,1,1,2,2,1,1,0,2,1,1,0,2
83,0,0,0,0,2,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,0,2,3,4,2,6,3,0,-1,0,1,2,0,2,1,0,0,0,2,0,0,1,0
84,0,1,2,3,4,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,4,1,1,0,1,0,1,0,1,1,2,0,-1,1,2,2,2,1,1,1,0,1,0,2,2,0,2
85,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,1,0,1,0,1,1,2,0,-1,2,2,2,0,2,0,1,1,1,1,2,2,0,1
86,0,1,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,4,4,1,0,1,0,3,4,3,2,7,0,1,1,2,0,0,2,0,1,2,1,0,2,0,1,0
87,0,1,2,2,0,1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,1,0,3,4,3,2,7,0,-1,0,1,2,1,2,2,0,1,1,2,2,1,2,0
88,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,2,4,3,0,1,0,3,4,3,2,7,0,-1,0,0,0,1,0,1,1,2,1,1,2,0,1,2
89,0,1,2,2,0,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,1,0,3,4,3,2,7,0,-1,2,0,1,1,1,2,0,1,0,0,2,1,2,1
90,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,7,0,1,0,3,4,3,2,7,0,1,1,2,0,2,1,1,1,2,2,0,0,0,0,1
91,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,5,4,3,0,1,0,3,4,3,2,7,0,1,1,1,1,1,2,0,0,2,1,0,0,1,0,2
92,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,0,3,6,0,0,0,3,4,3,2,7,0,1,0,0,1,2,2,2,0,0,2,0,0,1,1,0
93,0,1,2,3,3,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,1,4,2,0,1,0,1,0,1,1,2,0,-1,0,1,1,1,0,2,1,2,0,2,2,1,0,2
94,0,1,2,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,3,0,1,0,1,0,1,1,2,0,-1,2,0,1,0,2,0,2,2,2,0,2,2,1,1
95,0,1,1,3,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,4,0,0,1,1,0,2,4,3,5,1,-1,0,2,1,1,0,2,0,1,2,1,2,2,0,0
96,0,1,2,3,4,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,3,0,6,0,0,2,2,1,1,1,6,0,-1,0,1,1,1,0,2,2,2,2,2,0,0,2,2
97,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,2,0,6,3,0,1,0,1,0,1,1,2,0,-1,1,2,2,0,1,1,1,2,0,2,2,0,0,1
98,0,1,2,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,5,4,5,0,1,0,1,0,1,1,2,0,-1,1,2,0,1,1,1,1,2,1,2,2,2,0,1
99,0,1,2,3,4,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,3,4,0,1,0,1,0,1,1,2,0,-1,2,0,2,1,2,2,0,2,1,2,2,2,0,2
100,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,1,2,1,0,1,0,1,0,1,1,2,0,-1,1,0,2,2,1,1,0,2,1,1,1,1,1,0
101,0,1,2,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,2,5,2,0,1,0,1,0,1,1,2,0,-1,2,1,0,1,1,2,1,2,2,0,1,0,1,2
102,0,1,2,3,4,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2,4,5,4,0,1,0,1,0,1,1,2,0,0,2,2,2,2,0,2,0,0,0,2,2,1,1,2
103,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,2,5,3,0,1,0,1,0,1,1,2,0,-1,1,0,2,1,0,2,0,0,0,0,0,0,0,1
104,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,5,4,0,1,0,1,0,1,1,2,0,-1,0,0,1,1,2,2,2,1,0,0,2,1,0,0
105,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,1,0,3,4,3,2,7,0,-1,2,0,1,2,0,1,0,0,0,1,0,2,1,0
106,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,3,5,4,0,1,0,1,0,1,1,2,0,-1,1,2,2,2,1,1,2,1,2,0,1,2,0,2
107,0,0,2,2,0,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,2,1,7,0,1,0,3,4,3,2,7,0,1,0,1,0,2,1,1,2,1,2,1,1,1,2,1
108,0,1,2,2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,2,3,7,0,1,0,1,0,1,1,2,0,-1,2,0,1,1,1,1,0,2,1,2,2,2,1,0
109,0,1,2,3,4,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,5,0,4,0,1,0,1,0,1,1,2,0,-1,2,0,2,2,0,0,1,1,0,2,1,1,2,0
