,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32
10,0,0,1,3,3,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,0,0,2,1,2,0,1,0,0,2,0,2,2,2,2,2,2,2,1,0,1,1,1,2,1,0,0,2,2,1,1,1
11,0,0,1,1,1,0,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,0,3,0,0,2,3,2,4,1,1,1,-1,0,0,2,1,0,2,1,0,1,2,2,2,2,0,0,2,1,2,1,0,1,0,0,2,2,1,2,2,1,2,1,2
12,0,0,1,1,1,0,3,1,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,2,0,1,0,1,0,2,0,1,2,2,0,2,1,1,0,2,2,2,1,0,1,0,2,2,2,1,1,0,1,1,2
13,0,0,1,1,1,0,3,1,-1,2,0,0,0,0,0,0,0,0,1,1,3,4,5,5,7,0,0,2,3,2,2,5,3,1,-1,1,0,1,0,1,0,0,0,1,1,2,0,0,2,1,0,1,2,1,1,0,1,2,0,1,2,1,0,2,2,1,2
14,0,0,1,3,3,3,5,3,-1,3,1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,2,1,3,3,3,5,1,-1,1,2,1,2,1,2,0,1,0,1,1,0,2,2,0,1,2,2,2,0,1,2,0,0,1,2,2,1,2,2,2,1
15,0,0,1,3,3,3,5,3,-1,-1,-1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,2,1,3,3,3,5,1,-1,0,0,2,0,2,0,2,1,1,2,0,0,0,0,2,0,2,1,2,1,2,2,0,2,2,0,0,2,1,0,0,0
16,0,0,1,3,3,3,5,3,4,4,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,2,0,2,1,0,2,2,2,0,0,1,1,2,2,2,1,2,1,0,0,0,0,1,2,0,1,2,0,0,1,2,2
17,0,0,1,3,3,3,2,6,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,1,2,1,2,0,1,0,2,0,2,2,1,0,2,1,2,1,1,0,2,2,1,1,1,2,0,1,2,1,1,1,1
18,0,0,1,3,3,3,5,3,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,2,1,2,2,0,2,1,2,2,2,0,1,1,1,2,1,1,1,0,2,0,2,0,0,1,1,1,1,2,2,2,0
19,0,0,1,3,3,3,2,6,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,6,0,0,2,1,3,3,3,5,1,-1,1,1,0,1,0,2,0,2,1,1,2,0,1,2,2,1,0,1,0,2,2,2,1,2,2,1,1,0,0,1,1,2
20,0,0,1,3,3,3,2,6,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,1,2,1,2,2,2,2,0,1,2,1,0,0,0,1,2,2,2,2,1,0,2,1,0,2,1,1,2,2,1,2,1
21,0,0,1,3,3,3,2,6,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,3,3,5,1,0,1,2,2,0,1,1,2,1,2,0,1,1,2,2,1,0,2,1,2,1,1,1,1,2,1,0,0,0,2,1,0,1
22,0,0,1,1,1,0,2,6,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,2,1,0,1,1,1,1,0,2,2,1,0,1,0,2,1,0,0,2,1,2,0,1,0,1,1,0,0,1,2,0,0
23,0,0,1,1,1,0,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,1,1,1,0,1,1,0,2,2,2,2,0,1,2,0,0,1,1,1,1,2,1,1,0,2,2,1,0,2,1,2,2
24,0,0,1,1,1,0,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,-1,0,1,2,0,0,0,1,0,0,0,0,0,2,2,0,0,2,2,1,1,0,2,1,0,2,0,0,0,2,0,0,1
25,0,0,1,1,1,0,3,1,2,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,2,1,0,0,2,2,0,1,0,1,0,0,2,2,2,2,0,2,0,0,1,2,1,0,0,2,0,0,0,0,0,1
26,0,0,1,1,1,0,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,1,0,2,1,2,1,2,1,0,2,2,1,1,0,2,1,1,2,1,1,2,2,0,2,0,0,1,1,0,1,1,0
27,0,0,1,3,3,3,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,0,2,0,0,1,2,1,1,1,2,0,2,2,0,0,0,0,0,0,2,1,0,2,1,1,2,2,0,0,1,0,1
28,0,0,1,3,3,3,2,6,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,0,2,2,0,1,1,1,2,1,0,1,1,0,1,0,2,2,2,1,2,1,2,0,2,0,0,0,2,1,0,0,2
29,0,0,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,2,1,0,2,0,1,0,2,0,2,1,0,2,0,2,1,1,0,0,0,0,0,2,1,1,2,0,2,0,2,2,2
30,0,0,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,0,1,2,1,1,0,1,0,0,1,0,1,0,0,2,0,1,0,0,1,2,0,2,2,2,1,0,0,2,1,0,2
31,0,0,1,3,3,3,2,6,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,3,1,1,1,0,0,1,1,2,1,1,1,2,0,1,1,0,1,0,2,1,2,0,1,2,1,0,1,0,1,1,1,0,1,0,1,1
32,0,0,1,3,3,3,5,3,4,4,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,0,2,2,1,1,0,0,0,1,1,2,2,0,1,1,1,0,2,2,2,0,0,1,1,0,1,2,1,0,0,0,0
33,0,0,1,3,3,3,5,3,-1,3,1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,2,1,3,3,3,5,1,-1,2,1,0,0,2,1,2,0,1,1,2,0,2,2,1,1,1,2,1,1,0,0,0,0,2,2,2,1,0,1,1,2
34,0,0,1,1,1,0,3,1,2,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,1,2,1,2,1,2,1,2,0,2,1,0,1,1,0,0,2,0,2,2,2,2,1,1,1,0,1,2,0,1,0,0
35,0,0,1,1,1,0,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,0,0,1,1,0,1,1,2,1,2,0,1,1,2,2,2,2,1,0,0,0,0,0,2,2,0,2,0,0,1,1,1
36,0,0,1,3,3,3,2,6,7,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,1,1,2,1,0,1,0,1,1,2,0,1,1,0,0,0,1,1,2,1,1,2,1,0,1,2,1,1,0,1,0,0
37,0,0,1,3,3,3,2,6,8,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,0,2,0,2,2,2,0,1,2,0,1,0,1,2,1,1,0,2,1,0,0,0,1,2,0,2,2,1,2,2,2,2
38,0,0,1,1,1,0,3,1,-1,2,0,0,0,0,0,0,0,0,1,1,3,4,5,5,7,0,0,2,3,2,2,5,3,1,-1,0,0,2,0,0,0,2,2,2,0,2,2,0,1,0,2,2,0,2,1,1,0,0,1,1,2,1,0,0,1,2,0
39,0,0,1,3,3,3,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,1,2,0,2,0,1,2,0,2,0,2,1
40,0,0,1,3,3,3,2,6,8,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,0,2,0,0,0,2,2,2,1,1,2,1,2,1,2,2,0,0,0,1,2,1,0,1,1,0,1,2,1,0,1,2,2
41,0,0,0,1,2,2,4,5,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,3,4,4,5,7,0,0,0,3,2,2,5,3,1,-1,2,0,1,0,0,2,1,2,2,0,1,0,1,2,0,0,2,1,2,1,1,1,1,2,0,0,1,1,0,2,0,2
42,0,0,1,1,1,0,3,1,-1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,1,2,1,0,1,2,1,0,0,0,0,1,1,0,0,1,1,1,2,1,1,1,2,2,0,1,2,2,0,2,1,2
43,0,0,1,1,1,0,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,1,1,0,0,2,2,0,1,1,1,1,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,2,1,0,1,0,2
44,0,0,1,3,3,3,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,3,3,5,1,0,2,0,2,2,2,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,2,2,0,2,1,2,1,2,1,2,2
45,0,0,1,1,1,0,3,1,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,0,2,1,0,0,0,0,2,2,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,2,0,1,1,0,1,1,1
46,0,0,1,3,3,3,2,6,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,6,0,0,2,1,3,3,3,5,1,-1,0,0,0,2,2,1,1,0,1,0,1,1,2,0,0,2,0,2,2,0,0,2,2,1,2,0,1,0,1,0,1,0
47,0,0,1,1,1,0,3,1,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,0,2,3,2,2,5,3,1,1,2,1,1,2,0,0,2,1,1,0,2,0,2,1,2,1,0,2,2,0,0,1,1,2,1,1,1,1,0,1,1,1
48,0,0,1,3,3,3,2,6,7,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,0,2,1,3,3,3,5,1,-1,1,2,0,0,2,2,2,2,2,1,1,0,1,2,1,0,0,0,0,2,1,0,0,2,2,2,1,0,0,1,1,1
49,0,0,1,1,1,0,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,0,2,1,3,4,1,1,1,-1,0,1,2,2,1,2,0,0,1,1,1,2,2,2,0,0,0,0,1,1,1,2,1,2,1,1,0,0,0,2,1,2
50,0,1,2,0,0,5,6,7,-1,-1,-1,2,1,1,1,1,1,0,0,0,0,2,2,6,5,0,1,1,2,0,5,0,0,0,-1,0,1,2,2,1,0,1,2,1,1,1,1,1,2,1,2,1,1,0,1,1,1,0,1,0,1,2,1,1,0,2,0
51,0,1,2,0,0,1,0,7,9,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,1,1,2,0,1,0,2,0,2,0,2,2,0,1,2,2,2,2,2,1,2,0,2,2,0,0,0,1,2,2,1,2
52,0,1,2,0,0,1,0,7,-1,-1,2,2,1,1,1,1,1,0,0,0,0,2,2,6,5,0,1,1,2,0,5,0,6,0,5,0,1,1,1,1,0,2,2,0,2,2,2,1,0,0,0,2,1,2,0,1,2,0,2,0,1,1,0,0,0,0,0
53,0,1,0,2,2,2,4,5,-1,-1,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,-1,0,1,2,2,2,1,1,0,0,2,0,1,2,1,0,0,2,0,1,2,2,0,1,0,2,2,1,1,2,2,2,0
54,0,1,2,0,4,1,0,0,-1,-1,2,2,1,1,1,1,1,0,0,0,1,2,3,2,5,0,1,1,2,4,0,6,6,0,-1,1,0,0,2,1,2,2,0,2,2,1,0,0,0,1,2,0,2,1,2,2,1,0,1,2,0,1,1,1,0,2,0
55,0,1,0,2,4,4,1,2,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,1,0,0,1,1,4,4,0,-1,1,1,0,1,1,1,0,1,2,0,2,0,0,1,1,0,2,1,0,2,2,1,1,0,0,2,2,1,2,1,1,2
56,0,1,2,0,0,1,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,1,0,2,2,1,1,0,0,2,2,0,1,1,2,1,2,2,2,0,2,1,2,0,1,0,1,1,1,1,1,2,2
57,0,1,0,2,2,2,4,5,10,7,3,3,2,1,1,1,1,0,0,2,2,3,4,4,2,0,1,0,0,1,1,2,2,0,-1,2,1,2,0,1,1,1,0,2,2,2,2,2,1,2,0,0,2,0,2,0,2,1,1,0,1,0,1,2,1,0,1
58,0,1,2,0,0,1,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,1,2,0,2,0,0,2,0,2,1,0,0,0,0,1,0,2,2,2,1,1,2,1,0,0,1,1,0,0,0,0,1
59,0,1,0,2,2,2,4,5,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,-1,1,1,1,2,1,0,1,2,1,0,2,2,2,1,1,0,2,0,1,2,1,1,1,2,2,2,0,2,1,0,0,1
60,0,1,0,2,2,2,4,5,-1,-1,-1,-1,-1,1,1,1,1,0,0,2,2,3,4,4,2,0,1,0,0,1,1,2,2,0,-1,0,1,2,0,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,0,0,0,2,1,1,1,1,0,1
61,0,1,0,2,4,4,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,-1,1,1,0,0,2,2,2,0,1,1,0,1,0,1,2,2,1,0,2,1,2,0,1,1,0,1,2,1,0,2,0,0
62,0,1,0,2,2,2,1,2,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,2,2,0,2,0,2,1,1,2,1,0,1,2,1,0,0,0,1,1,0,1,2,1,2,1,2,0,0,0,1,0,1,2
63,0,1,0,2,4,4,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,4,0,1,1,0,2,1,0,2,2,0,2,1,0,2,1,1,1,2,0,1,0,0,0,1,0,2,0,0,2,1,1,2
64,0,1,0,2,4,4,1,2,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,1,0,0,1,1,4,4,0,3,0,0,0,1,2,0,1,2,0,1,1,0,1,1,2,0,1,1,1,0,1,1,0,1,2,0,0,2,0,0,1,0
65,0,1,2,0,0,1,0,7,-1,10,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,0,0,1,0,0,1,1,1,1,0,2,1,1,1,2,2,1,1,1,0,2,1,2,0,1,2,1,2,2,1,2,1
66,0,1,0,2,4,4,1,2,12,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,1,0,0,1,1,4,4,0,3,0,1,0,0,1,0,2,1,0,1,1,0,1,2,2,2,2,0,2,1,1,0,2,0,0,0,2,2,0,0,0,1
67,0,1,0,2,4,4,1,2,13,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,1,0,0,1,1,4,4,0,3,2,0,0,0,1,2,0,0,2,0,1,0,2,0,2,1,1,2,0,2,0,2,2,0,2,1,0,2,0,2,1,2
68,0,1,0,2,2,4,1,2,-1,11,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,-1,2,2,0,2,2,0,2,1,2,2,2,0,0,1,2,1,2,2,2,0,2,0,1,1,2,2,2,1,1,2,2,0
69,0,1,0,2,2,2,4,2,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,2,2,1,0,0,0,1,2,1,2,0,0,0,2,0,2,2,0,1,1,2,0,0,2,0,2,0,1,1,2,0,2,0
70,0,1,0,2,4,4,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,4,0,1,1,1,1,2,2,2,2,1,1,0,1,2,2,0,1,0,1,2,1,2,1,1,0,1,0,1,0,0,1,2
71,0,1,0,2,4,4,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,-1,2,1,0,1,1,2,1,1,2,1,1,0,1,2,0,1,1,2,0,2,0,0,1,1,1,0,1,0,2,0,1,2
72,0,1,0,2,4,4,1,2,-1,9,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,1,0,0,4,0,6,7,0,-1,0,2,0,0,0,1,0,1,0,1,1,0,2,0,0,0,1,0,2,0,1,2,2,0,0,1,2,0,2,0,0,2
73,0,1,0,2,4,4,1,0,14,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,4,0,0,0,0,1,1,1,1,1,0,2,0,2,1,2,2,0,2,0,0,0,0,2,0,1,1,2,2,2,0,2,1
74,0,1,2,0,4,1,0,0,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,3,2,5,0,1,1,2,0,5,0,6,0,-1,1,0,1,2,2,2,0,1,0,2,0,2,0,2,1,2,1,2,0,0,2,1,2,0,2,1,2,0,0,2,2,2
75,0,1,2,0,0,1,0,7,9,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,2,0,2,0,2,1,2,2,1,2,2,2,1,0,2,0,2,0,0,1,0,1,1,1,2,2,2,2,2,0,1,1
76,0,1,2,0,0,1,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,1,0,0,1,2,0,1,2,0,0,2,1,2,1,1,2,2,2,1,2,2,1,0,2,2,1,0,1,0,0,2,0
77,0,1,2,0,0,1,0,7,15,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,2,0,2,1,0,1,1,1,2,2,1,2,1,0,0,1,2,0,1,1,0,0,0,2,0,2,0,2,0,2,0,2
78,0,1,0,2,4,4,1,0,14,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,1,0,0,4,0,6,7,0,4,1,0,2,2,0,0,0,1,2,2,2,2,0,1,0,2,1,2,0,0,0,0,1,2,0,1,1,1,0,1,1,1
79,0,1,0,2,2,4,1,2,-1,-1,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,1,0,0,1,1,4,4,0,-1,1,2,2,0,2,0,0,0,1,0,0,2,1,0,2,2,2,1,1,1,0,2,2,1,0,1,1,0,1,0,2,1
80,0,1,0,2,2,2,4,5,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,-1,2,1,2,0,0,1,0,1,0,0,0,0,1,1,2,0,2,0,1,0,0,0,1,1,1,2,0,1,2,0,0,2
81,0,1,0,2,2,2,4,5,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,1,0,0,1,1,2,2,0,2,0,2,0,2,0,0,0,0,2,0,1,1,2,2,2,2,0,1,2,0,2,1,1,1,1,0,2,1,0,1,2,1
82,0,1,0,2,4,4,1,2,13,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,1,0,0,1,1,4,4,0,3,1,2,2,0,0,1,1,0,1,1,0,1,1,2,2,2,0,1,1,2,1,0,0,0,2,2,1,1,2,1,0,0
83,0,1,0,2,4,4,1,2,-1,9,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,1,0,0,1,1,2,2,0,-1,2,1,0,2,1,2,2,2,0,1,1,2,1,2,0,2,0,0,0,1,0,2,1,0,0,0,0,0,1,0,2,2
84,0,1,0,2,2,4,1,2,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,1,0,0,1,1,4,4,0,-1,0,0,1,2,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,2,1,0,2,2,0,0,1,1,0,1,2,0
85,0,1,2,0,4,1,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,1,1,2,0,5,0,6,0,5,0,2,2,0,0,2,0,2,2,0,2,0,2,0,1,0,2,1,2,2,1,1,0,0,2,0,1,1,0,2,0,1
