,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21
13,0,1,1,1,3,3,2,1,4,5,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0
14,0,1,1,1,3,3,6,1,-1,-1,-1,4,2,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,1,1,1,0,1,0,2,0,1,0,1,1,2,0,0,0,0,2,0,0,1
15,0,1,1,1,3,3,6,1,-1,-1,6,0,0,1,0,0,0,0,0,0,3,1,0,4,5,0,0,1,1,2,3,6,1,0,0,2,1,2,2,1,2,2,1,1,1,1,1,0,2,2,0,2,2,0,1,0
16,0,1,1,1,1,0,0,6,1,3,4,3,1,1,0,0,0,0,0,0,3,4,1,3,5,0,0,1,1,2,5,6,1,0,-1,2,2,1,2,2,1,1,1,2,1,2,1,0,2,1,1,2,0,0,1,0
17,0,1,1,1,1,0,0,6,5,6,7,0,0,1,0,0,0,0,0,0,3,4,1,1,5,0,0,1,1,2,5,6,1,0,0,1,2,1,2,2,1,1,1,1,2,1,0,1,1,2,0,0,2,1,2,0
18,0,1,1,1,3,3,6,1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,1,0,0,0,2,1,0,2,2,1,1,1,0,0,2,1,2,1,2,0,1
19,0,1,2,2,1,0,0,6,-1,-1,2,0,0,1,0,0,0,0,0,1,0,3,1,1,3,0,0,2,0,3,0,4,6,0,5,1,0,0,1,1,2,1,1,0,0,0,1,0,2,1,2,0,0,2,0,2
20,0,1,2,2,4,2,3,7,-1,7,8,0,0,1,0,0,0,0,0,1,0,3,4,1,3,0,0,2,0,3,0,4,6,1,-1,1,2,2,2,1,2,1,1,1,2,0,0,2,0,0,0,2,0,0,2,2
21,0,0,0,3,1,4,5,0,6,8,0,0,0,1,0,0,0,0,0,1,1,0,2,6,2,0,0,2,0,0,5,5,2,0,-1,1,2,2,2,0,0,2,0,0,1,2,2,0,1,0,0,1,2,2,2,0
22,0,1,1,1,1,5,2,2,-1,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,0,1,0,0,1,2,2,1,2,2,2,0,2,2,2,2,2,1,2,0
23,0,1,1,1,3,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,2,1,1,0,2,0,0,2,1,2,0,1,2,1,2,2,2,2,1,1
24,0,0,0,0,1,5,2,2,-1,9,0,0,0,1,0,0,0,0,1,2,1,4,2,0,6,0,0,0,2,0,5,2,2,0,-1,1,2,0,2,1,1,0,1,0,2,1,0,0,1,0,1,0,0,0,2,1
25,0,1,2,2,4,0,3,7,-1,-1,8,0,0,1,0,0,0,0,0,1,0,3,4,1,3,0,0,2,0,3,0,4,6,0,5,1,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,2,2,2
26,0,1,1,1,3,3,6,1,-1,5,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,0,2,0,1,1,2,1,2,0,0,2,1,1,0,0,0,1,1,1,0,2
27,0,1,1,1,3,3,6,1,0,2,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,0,0,0,2,2,1,0,2,0,2,1,0,0,2,1,1,0,0,1,2,1
28,0,1,1,3,1,5,0,2,-1,10,0,0,0,1,0,0,0,0,0,1,1,4,1,0,5,0,0,2,0,0,5,6,1,0,-1,0,0,0,0,2,2,2,1,1,1,2,0,2,2,0,1,0,1,2,1,1
29,0,1,1,1,3,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,0,0,1,2,2,0,1,2,1,2,1,0,1,0,0,2,1,1,1,1,2
30,0,1,1,1,3,3,6,1,7,11,0,0,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,1,0,1,2,1,1,2,0,1,1,1,2,1,1,1,2,2,1,0,2,2
31,0,1,1,1,3,3,6,1,3,4,5,4,2,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,2,1,0,1,1,1,1,2,0,0,0,1,0,0,1,1,0,1,0,0,2
32,0,1,1,1,1,5,2,2,-1,-1,0,0,0,1,0,0,0,0,0,0,3,4,1,0,5,0,0,1,1,2,5,2,5,0,-1,1,2,2,0,0,2,1,0,1,1,0,1,0,2,2,0,2,0,2,2,0
33,0,1,2,2,4,0,0,6,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,3,4,3,3,0,0,2,0,3,0,6,1,1,-1,1,1,0,0,1,0,2,0,1,1,2,2,0,1,2,0,2,1,2,2,2
34,0,1,1,1,1,5,0,6,-1,12,7,0,0,1,0,0,0,0,0,0,3,4,1,0,5,0,0,1,1,2,5,6,1,0,0,1,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,1,1,1,1,2
35,0,1,1,1,1,5,2,2,-1,13,0,0,0,1,0,0,0,0,1,0,1,4,2,0,5,0,0,1,1,2,5,2,5,0,1,2,0,1,0,2,2,2,1,0,1,0,0,1,0,0,2,2,2,1,1,0
36,0,1,2,3,1,0,0,6,-1,-1,0,0,0,1,0,0,0,0,0,1,1,4,1,1,3,0,0,2,0,3,5,6,1,0,-1,2,1,2,0,0,1,2,2,0,0,0,1,0,2,1,0,0,2,2,2,2
37,0,1,1,1,3,5,2,2,-1,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,0,2,1,0,1,2,1,0,1,0,1,2,1,2,1,2,1,1,1,1,1
38,0,1,1,1,3,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,0,1,2,2,2,1,0,2,1,0,2,2,2,0,0,2,0,2,1,1,0
39,0,1,2,2,4,2,3,7,-1,7,8,0,0,1,0,0,0,0,0,1,0,3,4,1,7,0,0,2,0,3,0,4,6,1,-1,2,0,2,2,1,2,1,2,2,0,2,1,0,2,2,1,2,0,0,0,0
40,0,1,2,2,4,0,3,7,-1,-1,2,0,0,1,0,0,0,0,0,1,0,3,1,1,3,0,0,2,0,3,0,4,6,0,5,1,2,1,1,1,0,0,1,0,2,1,1,1,1,0,1,1,0,0,1,1
41,0,1,1,1,3,5,2,2,-1,-1,-1,2,0,1,0,0,0,0,1,0,3,1,0,0,1,0,0,1,1,2,3,2,5,0,-1,1,0,2,1,2,1,1,1,0,1,1,2,1,2,0,0,2,2,1,1,2
42,0,1,1,1,3,5,2,2,-1,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,0,0,0,1,2,2,1,0,0,2,2,1,1,1,1,1,1,1,1,0,2
43,0,0,0,3,0,4,5,0,-1,14,0,0,0,1,0,0,0,0,0,1,1,0,2,6,2,0,0,2,0,0,4,5,7,0,-1,2,1,0,1,0,1,0,2,1,1,1,1,1,2,2,2,1,0,0,2,1
44,0,1,1,3,1,5,0,2,-1,10,0,0,0,1,0,0,0,0,0,1,1,4,1,0,3,0,0,2,0,0,5,6,1,0,-1,0,0,1,0,1,2,1,2,0,1,0,1,1,0,0,1,2,0,0,0,1
45,0,1,1,1,1,5,0,6,-1,12,7,0,0,1,0,0,0,0,0,0,3,4,1,0,5,0,0,1,1,2,5,6,1,0,0,0,0,0,0,2,1,2,0,1,2,1,0,2,1,1,2,2,1,0,0,1
46,0,1,1,1,1,5,2,2,8,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,0,1,2,0,0,0,2,0,0,2,0,0,2,0,2,2,1,2,0,1
47,0,1,1,1,1,5,2,2,-1,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,0,2,1,0,2,1,2,2,0,1,0,2,2,1,2,1,1,0,2,0,0
48,0,1,1,1,1,5,2,2,8,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,2,1,0,2,2,0,0,2,0,1,0,1,1,1,1,1,1,1,2,2
49,0,1,1,1,3,3,6,1,9,15,6,0,0,1,0,0,0,0,1,0,3,1,0,4,5,0,0,1,1,2,3,0,3,0,0,2,1,0,1,0,1,2,2,1,0,2,1,1,2,0,2,1,1,0,2,2
50,0,1,1,1,3,3,2,1,4,5,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,0,0,2,2,2,2,2,1,1,2,0,0,1,1,1,1,1,2,2,0,0
51,0,1,1,1,3,3,6,1,0,2,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,2,2,0,2,1,2,1,0,0,2,1,0,1,0,2,0,1,1,0,0,2
52,0,1,1,1,1,5,0,6,-1,-1,-1,0,0,1,0,0,0,0,0,0,3,4,1,0,5,0,0,1,1,2,5,6,1,0,0,2,0,1,2,2,0,1,2,2,1,2,1,2,2,1,1,1,1,2,0,1
53,0,1,1,1,3,3,6,1,-1,-1,6,0,0,1,0,0,0,0,0,0,3,1,0,4,5,0,0,1,1,2,3,6,1,0,0,0,1,0,0,2,0,1,2,1,2,2,2,0,1,2,2,2,1,0,0,1
54,0,1,2,2,1,0,0,6,-1,-1,7,0,0,1,0,0,0,0,0,1,0,4,1,1,3,0,0,2,0,3,0,6,1,0,-1,0,1,2,0,2,1,0,2,2,1,0,0,2,2,0,1,0,2,0,0,2
55,0,1,1,1,1,0,0,6,5,6,7,0,0,1,0,0,0,0,0,0,3,4,1,1,5,0,0,1,1,3,5,6,1,0,0,1,0,1,2,0,1,1,2,1,0,1,1,1,1,1,2,1,1,2,2,2
56,0,1,2,2,1,0,0,6,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,4,1,1,3,0,0,2,0,3,0,6,1,0,5,0,0,1,2,2,0,1,0,2,0,0,2,1,0,2,0,0,1,2,1,2
57,0,1,1,1,3,3,6,1,7,11,0,0,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,0,1,1,0,2,1,0,1,2,2,0,0,2,1,2,0,2,1,1,2,1
58,0,1,1,1,3,3,6,1,9,15,6,0,0,1,0,0,0,0,1,0,3,1,0,4,5,0,0,1,1,2,3,0,3,0,0,2,0,1,0,1,0,1,1,0,2,0,2,2,2,1,0,1,0,0,1,0
59,0,0,0,0,2,1,1,4,10,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,2,0,-1,2,2,1,2,2,1,2,2,2,0,1,1,2,1,1,2,0,1,0,1,2
60,0,0,0,3,0,4,5,0,-1,14,0,0,0,1,0,0,0,0,0,2,1,0,2,6,2,0,1,2,0,0,4,5,2,0,-1,1,2,0,2,1,1,0,1,0,2,0,2,0,0,1,1,1,0,2,0,0
61,0,0,0,3,0,4,5,0,11,16,0,0,0,1,0,0,0,0,0,2,1,0,2,2,2,0,1,2,0,0,4,5,7,0,-1,1,0,0,2,2,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,1
62,0,0,0,0,2,1,1,0,-1,14,0,0,0,1,0,0,0,0,1,2,1,0,2,6,6,0,1,0,2,0,4,5,2,0,2,2,1,2,2,1,1,0,1,0,0,0,2,2,0,1,2,0,2,1,2,1
63,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,2,2,1,0,0,2,1,2,2,1,2,0,2,2,2,0,1,2,2,0,1
64,0,0,2,3,0,4,5,0,-1,17,9,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,1,2,0,0,4,5,7,0,-1,1,0,1,1,1,1,0,1,1,1,1,0,2,1,1,2,0,1,0,0,1
65,0,0,0,3,0,4,5,0,13,14,0,0,0,1,0,0,0,0,1,2,1,0,2,6,2,0,1,2,2,0,4,5,2,0,2,2,0,2,2,1,0,0,2,0,1,0,0,1,1,0,2,1,2,2,0,2
66,0,0,0,0,2,1,1,3,14,18,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,0,0,-1,1,0,2,0,0,2,1,0,1,0,0,0,2,1,2,2,0,1,2,0,2
67,0,0,0,0,2,1,1,3,14,18,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,0,0,-1,0,1,1,1,1,0,0,1,1,2,0,2,2,0,2,2,2,2,1,0,0
68,0,1,2,3,0,4,5,0,-1,-1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,3,0,0,2,0,3,0,5,7,0,-1,2,0,0,2,1,2,1,1,1,1,1,2,0,0,2,2,2,2,1,0,2
69,0,1,2,2,4,2,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,3,4,3,0,0,0,2,0,3,0,4,6,1,-1,1,2,2,1,0,1,1,1,1,1,0,0,0,2,1,2,2,0,0,1,1
70,0,1,1,3,1,5,2,2,-1,13,0,0,0,1,0,0,0,0,0,1,1,4,2,0,5,0,0,2,0,0,5,2,5,0,-1,1,0,1,1,2,2,2,2,1,2,1,2,0,2,0,2,0,2,0,2,0
71,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,1,1,0,0,2,0,0,2,1,0,0,2,0,2,2,1,0,0,0,2,0
72,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,2,0,-1,0,1,0,0,0,2,2,0,0,0,1,0,2,2,2,2,1,0,1,1,1
73,0,1,2,2,4,2,4,5,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,3,4,3,0,0,0,2,0,3,0,4,6,1,-1,0,2,2,0,0,0,1,0,1,1,2,1,1,0,2,1,2,0,1,0,2
74,0,1,1,3,1,5,2,2,-1,13,0,0,0,1,0,0,0,0,0,0,1,4,2,0,5,0,0,1,1,0,5,2,5,0,-1,2,0,2,2,2,1,1,2,1,0,2,2,1,1,0,0,2,1,0,1,1
75,0,0,0,3,0,4,5,0,11,16,0,0,0,1,0,0,0,0,1,2,1,0,2,6,2,0,1,2,0,0,4,5,7,0,-1,0,2,2,2,1,2,0,1,1,1,1,2,1,2,2,2,2,1,0,1,0
76,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,1,0,0,1,1,2,0,2,2,0,1,0,0,1,1,0,2,2,0,2,2
77,0,0,2,3,0,4,3,7,15,19,10,0,0,1,0,0,0,0,0,1,0,3,5,2,7,0,0,2,0,3,0,4,6,0,-1,0,2,1,2,0,1,2,1,1,2,2,0,0,0,0,1,0,1,2,0,1
78,0,1,2,2,4,2,4,5,-1,-1,-1,5,3,2,0,0,0,0,0,1,0,3,4,3,0,0,0,2,0,3,0,4,6,1,-1,1,1,0,1,0,0,1,1,1,1,2,2,0,2,1,2,2,0,0,0,2
79,0,0,0,3,0,4,5,0,11,16,0,0,0,1,0,0,0,0,0,2,1,0,2,2,2,0,1,2,0,0,4,5,7,0,-1,2,1,2,2,1,0,2,2,0,1,2,1,2,1,2,1,2,0,2,1,2
80,0,0,0,0,2,1,1,4,-1,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,-1,0,0,2,0,1,2,2,2,2,1,2,2,0,1,2,1,0,1,1,2,1
81,0,0,0,0,2,1,1,3,-1,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,0,0,-1,1,2,0,2,1,2,2,1,2,0,2,2,0,1,1,1,0,0,1,1,1
82,0,0,0,0,2,1,1,3,-1,-1,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,0,0,-1,1,0,1,0,1,2,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1
83,0,0,0,0,2,1,1,3,16,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,2,0,-1,2,1,2,2,2,0,2,1,1,0,2,2,0,1,1,2,0,1,0,0,1
84,0,0,0,0,2,1,5,0,-1,14,0,0,0,1,0,0,0,0,1,2,2,0,2,6,2,0,1,2,0,0,4,5,7,0,4,0,0,2,0,2,2,1,1,1,1,0,2,0,0,0,1,1,0,0,0,2
85,0,0,0,3,0,4,5,0,11,16,0,0,0,1,0,0,0,0,0,2,1,0,2,6,2,0,1,2,0,0,4,5,7,0,-1,2,0,2,0,0,1,2,0,1,2,2,1,2,0,0,2,0,2,0,0,2
86,0,0,0,0,2,1,1,4,17,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,2,0,-1,2,1,1,2,2,2,1,1,0,0,0,1,1,2,2,1,0,0,1,1,1
87,0,0,0,0,2,1,1,3,18,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,2,0,-1,0,1,1,1,0,0,0,0,1,2,0,2,1,0,0,2,2,1,2,0,1
88,0,0,0,0,2,1,1,3,19,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,0,0,-1,0,2,0,2,1,1,1,0,2,0,1,2,2,2,0,1,1,1,2,0,0
89,0,0,0,0,2,1,1,3,-1,-1,-1,-1,-1,-1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,0,0,-1,1,0,2,1,1,0,0,0,2,2,1,2,2,1,2,0,0,1,1,0,2
90,0,0,0,0,2,1,1,3,-1,18,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,0,0,-1,0,1,2,1,2,2,1,1,1,2,0,0,1,1,2,0,0,2,1,2,2
91,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,0,2,1,2,2,0,2,0,2,1,2,1,2,2,1,2,1,2,1,0,2
92,0,0,0,0,2,1,1,3,20,18,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,2,1,2,1,0,0,-1,0,0,2,1,0,2,1,2,1,0,1,2,2,0,1,2,1,1,1,1,1
93,0,0,0,0,2,1,1,4,-1,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,-1,1,1,1,2,0,2,2,0,2,2,0,0,1,1,2,2,1,0,1,0,0
94,0,0,0,3,0,4,5,0,-1,-1,-1,0,0,1,0,0,0,0,0,2,1,0,5,2,2,0,1,2,0,0,4,5,7,0,-1,2,2,1,1,1,0,2,0,2,1,1,1,2,2,0,2,0,2,2,0,0
95,0,1,2,2,4,2,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,3,4,3,0,0,0,2,0,3,0,4,6,1,-1,1,1,2,1,0,1,2,2,0,2,1,2,2,2,0,1,1,2,0,1,1
96,0,1,2,2,4,2,4,5,-1,-1,-1,5,3,2,0,0,0,0,0,1,0,3,4,3,0,0,0,2,0,3,0,4,6,1,-1,0,0,2,1,2,0,0,0,1,0,1,1,1,1,2,0,1,1,0,1,1
97,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,2,2,2,2,2,2,2,0,1,1,2,2,0,0,1,0,2,0,2,2,1
98,0,0,0,0,2,1,1,3,21,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,0,0,-1,2,1,2,2,0,0,2,2,2,0,1,1,2,0,1,2,0,1,2,0,0
99,0,0,0,0,2,1,1,4,12,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,4,0,1,0,3,4,1,3,4,0,3,2,1,2,0,2,1,1,0,2,1,2,1,1,0,1,1,2,1,1,2,1
100,0,0,0,3,2,1,5,0,-1,14,0,0,0,1,0,0,0,0,1,2,1,0,2,6,2,0,1,0,2,0,4,5,2,0,2,1,0,2,2,0,1,1,1,1,0,1,0,1,2,2,2,2,2,2,1,0
101,0,0,0,0,2,1,1,3,18,14,0,0,0,1,0,0,0,0,1,2,2,2,3,5,6,0,1,0,2,1,2,1,2,0,-1,2,2,2,2,2,1,2,2,2,0,2,0,0,2,0,2,0,0,1,0,0
102,0,0,0,3,0,4,5,0,11,16,0,0,0,1,0,0,0,0,1,2,1,0,2,6,2,0,1,2,0,0,4,5,7,0,-1,0,2,1,2,2,0,2,1,0,2,0,1,0,0,0,1,2,1,0,0,0
