,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25
14,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,4,6,0,0,0,0,2,2,0,1,0,-1,0,2,0,0,1,0,0,1,0,0,0,2,2,2,0,2,0,2,2,1,1,1,1,2,1
15,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,1,2,0,0,0,0,0,3,0,4,7,0,-1,2,0,0,2,0,2,0,1,1,2,1,0,2,0,1,2,2,2,2,2,1,0,1,0,1
16,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,4,7,0,-1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2,2,0,2,1,2,0,1,0
17,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,1,6,4,0,0,0,0,3,0,4,7,0,-1,2,2,1,2,1,1,2,1,1,2,2,0,1,1,0,0,2,0,0,2,2,1,0,1,0
18,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,5,6,2,0,0,0,0,2,2,0,1,0,-1,0,2,2,2,1,0,2,2,0,0,0,0,2,2,1,1,2,1,1,0,2,2,1,0,1
19,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,1,0,1,0,0,0,0,2,2,6,0,0,-1,0,1,0,2,2,2,0,2,0,0,1,1,1,2,0,2,1,0,1,1,0,1,0,2,1
20,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,0,0,0,2,2,6,0,0,-1,2,2,2,0,0,0,0,2,0,0,2,2,0,0,1,2,1,0,0,1,2,0,1,1,2
21,0,1,0,3,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,5,7,0,0,0,0,3,0,6,0,0,-1,0,0,1,0,2,0,1,2,2,2,1,1,2,2,2,0,2,1,1,1,0,0,2,1,0
22,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,7,0,0,0,0,2,2,6,0,0,-1,1,1,2,1,1,2,0,1,0,0,1,2,0,0,0,2,1,1,1,2,2,1,2,2,1
23,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,6,0,0,0,0,3,0,6,0,0,-1,2,0,2,1,2,1,0,0,2,2,0,0,1,1,2,1,2,1,0,2,0,0,1,2,0
24,0,1,0,1,1,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,0,0,0,0,0,3,0,4,7,0,-1,2,0,2,1,2,1,1,1,0,2,1,1,2,1,1,1,1,2,1,2,0,2,1,1,0
25,0,1,0,3,1,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,0,1,1,0,0,0,0,3,0,4,7,0,-1,0,2,2,2,1,2,0,0,1,1,0,2,1,0,1,0,1,2,1,1,0,1,0,2,1
26,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,4,5,0,0,0,0,3,0,6,0,0,-1,1,2,0,1,1,1,1,1,2,0,0,0,1,1,0,1,1,1,2,2,0,2,1,1,2
27,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,3,1,0,0,0,0,2,2,6,0,0,-1,1,1,1,2,2,2,0,1,2,0,1,2,2,1,1,0,0,0,1,1,1,1,1,2,1
28,0,1,0,1,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,5,0,0,0,0,3,0,4,7,0,-1,2,2,2,0,1,2,2,2,0,2,2,2,0,0,2,0,1,1,1,2,1,2,0,0,0
29,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,3,0,0,0,0,0,2,2,6,0,0,-1,0,0,1,2,1,1,0,1,0,1,2,2,0,0,2,2,1,0,0,1,2,1,2,2,1
30,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,3,5,1,0,0,0,0,3,0,4,7,0,-1,2,0,0,2,2,1,1,2,0,2,2,0,0,1,2,0,2,2,0,1,1,2,0,1,0
31,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,6,4,0,0,0,0,2,2,0,1,0,-1,1,2,2,1,1,1,2,2,2,1,0,0,0,1,1,0,2,0,1,1,2,2,2,1,2
32,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,3,0,0,0,0,2,2,6,0,0,-1,1,0,1,2,2,0,2,2,2,1,1,2,2,0,0,2,2,1,1,2,2,2,2,0,0
33,0,1,0,1,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,3,2,0,0,0,0,0,3,0,4,7,0,-1,1,2,1,0,0,1,0,1,0,1,0,1,2,1,1,1,0,1,0,2,2,1,1,1,2
34,0,1,0,1,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,3,3,0,0,0,0,3,0,4,7,0,-1,1,0,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,0,0,2,2,2,1
35,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,5,0,0,0,0,2,2,6,0,0,-1,2,2,0,2,1,0,1,1,0,2,1,1,0,0,1,0,1,2,0,2,0,1,2,2,2
36,0,1,0,1,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,1,6,0,0,0,0,3,0,4,7,0,-1,1,1,2,2,2,2,0,2,1,1,2,2,1,1,2,1,1,2,2,2,2,0,0,1,1
37,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,0,0,0,3,0,4,7,0,-1,1,2,0,0,0,2,0,1,2,0,1,0,1,1,0,0,0,2,0,2,0,0,1,0,2
38,0,1,0,1,4,3,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,7,0,0,0,0,2,2,6,0,0,-1,0,0,1,0,0,1,1,0,1,2,0,0,0,2,2,0,2,1,2,1,1,1,0,1,0
39,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,1,3,0,0,0,0,0,2,2,6,0,0,-1,0,2,0,2,0,0,0,2,0,2,1,2,2,2,0,0,2,2,1,1,1,1,0,1,0
40,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,1,3,2,0,0,0,0,2,2,6,0,0,-1,1,1,1,1,2,0,0,0,0,2,2,1,0,2,0,2,1,0,0,1,0,1,1,0,2
41,0,1,0,1,2,5,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,6,3,0,0,0,0,2,2,6,0,0,-1,0,2,0,1,0,1,2,1,1,1,0,0,1,1,0,1,0,1,1,0,2,2,0,2,2
42,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,0,0,0,0,0,2,2,0,1,0,-1,0,1,2,0,1,1,1,1,0,0,0,1,1,0,0,2,1,2,1,0,0,1,2,0,1
43,0,1,0,3,1,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,1,1,0,0,0,0,2,2,6,0,0,-1,1,1,1,2,2,2,0,0,1,1,0,2,0,0,2,1,0,2,0,2,0,0,2,1,0
44,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,3,0,0,0,0,2,2,6,0,0,-1,2,0,1,1,0,2,0,0,2,1,0,1,1,2,2,2,2,1,1,2,1,0,2,0,0
45,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,0,0,2,2,6,0,0,-1,1,1,2,0,2,2,0,0,1,0,1,0,1,1,0,2,2,1,1,2,0,1,2,2,2
46,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,3,0,0,0,0,2,2,6,0,0,-1,0,2,0,2,1,0,2,2,1,2,1,0,1,2,1,0,0,2,1,1,0,1,0,1,0
47,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,2,3,0,0,0,0,2,2,6,0,0,-1,2,0,0,2,2,1,1,0,1,1,2,0,2,1,0,0,1,1,1,1,2,1,1,2,2
48,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,4,6,0,0,0,0,2,2,0,1,0,-1,2,2,2,1,1,2,0,1,0,1,1,0,2,1,1,0,2,0,1,2,2,1,2,0,1
49,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,0,0,0,2,2,0,1,0,-1,1,1,0,2,1,2,1,2,2,2,0,1,2,1,0,2,2,1,0,2,0,1,0,2,1
50,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,6,0,0,0,0,0,2,2,0,1,0,-1,1,1,0,1,0,2,0,2,2,2,0,0,2,1,1,0,2,1,2,0,2,0,2,1,1
51,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,3,1,0,0,0,0,2,2,0,1,0,-1,1,1,1,0,0,2,0,0,2,0,1,1,2,1,1,1,1,2,0,2,0,1,0,0,2
52,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,2,5,2,1,0,0,0,0,2,2,0,1,0,-1,0,1,2,1,1,1,1,0,2,0,0,1,0,1,0,2,0,2,2,1,1,1,0,0,0
53,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,5,4,1,0,0,0,0,3,0,4,7,0,-1,0,2,0,1,2,1,0,1,0,2,0,0,2,0,0,0,1,1,0,1,0,1,2,2,2
54,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,2,7,0,0,0,0,2,2,6,0,0,-1,1,0,1,1,2,2,1,0,0,0,2,1,0,1,1,1,0,0,1,2,1,0,2,2,2
55,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,0,0,0,0,0,0,2,2,0,1,0,-1,0,2,0,0,0,2,1,2,1,1,0,1,2,1,1,0,0,0,2,2,0,1,0,2,1
56,0,1,0,1,2,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,0,0,0,2,2,6,0,0,-1,2,2,0,0,1,1,0,0,0,2,2,0,1,1,0,2,0,2,0,2,1,0,2,1,0
57,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,1,1,4,2,0,0,0,0,3,0,4,7,0,-1,0,0,1,2,2,1,1,1,2,0,1,0,2,1,0,1,0,2,0,2,1,0,2,0,2
58,0,1,0,1,2,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,1,5,4,0,0,0,0,2,2,0,1,0,-1,0,0,1,2,1,0,2,2,0,2,1,2,1,2,2,0,1,0,2,2,1,1,2,0,1
59,0,0,1,0,4,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,0,1,2,4,1,3,3,0,-1,1,2,2,2,1,0,1,2,2,0,2,2,2,2,2,1,2,0,2,1,2,0,1,2,2
60,0,0,1,0,3,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,1,1,3,0,4,1,4,0,-1,1,2,1,2,1,2,1,2,0,1,2,2,0,1,0,1,0,2,0,0,0,0,2,1,1
61,0,0,2,0,3,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,1,1,1,1,4,1,4,0,-1,2,0,1,2,1,0,1,2,0,2,1,1,2,2,1,2,0,1,2,2,0,2,1,2,2
62,0,0,1,0,4,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,0,1,2,4,1,3,3,0,-1,0,0,1,0,0,0,1,2,0,0,2,2,1,0,2,2,1,1,1,2,2,2,0,2,2
63,0,1,1,3,4,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,0,1,2,4,1,3,3,0,-1,0,2,1,2,2,1,1,2,1,1,1,0,0,2,0,1,1,1,1,0,2,0,2,1,2
64,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,0,1,3,0,5,5,5,0,-1,1,2,1,2,2,0,2,2,0,0,0,2,1,0,0,0,0,1,2,0,0,0,2,0,2
65,0,1,1,3,1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,1,1,4,0,0,1,2,4,1,3,3,0,-1,2,0,2,1,2,2,2,1,0,2,2,2,1,1,2,1,1,2,1,2,2,0,1,2,2
66,0,1,1,1,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,0,1,2,4,1,3,3,0,-1,2,2,0,2,1,0,2,2,2,0,2,0,1,2,1,0,0,0,0,2,1,1,1,1,2
67,0,0,1,0,4,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,0,0,0,1,2,4,1,3,3,0,-1,1,0,0,1,2,1,1,0,0,0,0,1,1,0,2,2,1,1,0,2,0,1,2,2,0
68,0,0,1,0,3,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,1,1,3,0,4,1,4,0,-1,0,1,0,2,0,1,2,1,0,0,0,2,0,2,1,0,1,2,2,2,2,0,0,0,0
69,0,1,1,1,4,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,3,1,4,0,0,0,2,2,2,6,0,1,-1,2,2,0,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,2,2,1,2,2,2
70,0,0,1,0,3,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,1,1,3,0,4,1,6,0,-1,1,1,0,0,2,1,0,2,0,0,0,1,1,1,2,2,1,1,1,2,2,0,0,0,1
71,0,1,1,3,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,1,0,3,0,4,3,0,-1,2,2,0,1,1,2,1,1,1,0,0,1,0,0,2,1,2,0,0,1,0,2,1,2,1
72,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,0,1,2,4,1,3,3,0,-1,1,2,2,2,0,1,1,2,2,0,1,0,0,1,2,1,1,1,2,1,0,1,2,0,1
73,0,1,0,3,1,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,3,0,0,0,0,0,3,0,4,7,0,-1,0,2,2,0,1,1,1,2,1,2,1,1,1,0,2,0,1,0,1,2,1,1,0,2,1
74,0,1,1,3,1,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,1,6,4,0,0,1,2,4,1,3,3,0,-1,1,0,0,0,2,0,0,2,0,0,1,1,1,1,0,2,1,1,0,1,1,0,0,0,2
75,0,0,1,0,4,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,0,1,2,4,1,3,3,0,-1,1,2,1,1,0,0,2,0,1,2,0,1,1,1,1,2,2,1,2,0,2,0,0,2,1
76,0,1,1,0,4,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,0,1,2,4,1,3,3,0,-1,2,1,1,1,0,1,2,1,2,2,2,1,1,0,2,0,1,2,2,2,2,2,1,0,2
77,0,0,1,0,3,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,2,4,0,1,1,3,0,4,1,4,0,-1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,2,1,2,2
78,0,1,1,1,4,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,0,0,0,2,2,6,0,1,-1,0,0,0,2,0,0,0,0,0,1,0,2,1,1,2,0,2,2,2,0,1,2,0,0,0
79,0,1,1,3,1,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,4,0,2,0,0,1,2,4,1,3,3,0,-1,2,1,1,1,1,1,1,2,2,0,0,1,0,0,0,2,1,0,2,0,0,1,2,1,0
80,0,1,1,0,4,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,6,2,0,0,1,2,4,1,3,3,0,-1,2,1,1,2,2,1,0,2,2,1,2,1,2,1,0,0,2,0,0,2,2,1,1,2,1
81,0,1,1,0,4,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,5,7,0,0,1,2,4,1,3,3,0,-1,1,2,0,0,2,1,0,1,2,2,2,2,0,0,0,1,2,1,1,0,2,2,1,0,0
82,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,4,5,0,0,0,1,3,0,5,5,5,0,-1,0,1,1,2,2,2,0,0,1,2,1,0,2,0,0,0,2,2,0,0,2,1,1,0,1
83,0,0,2,2,0,2,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,1,2,3,0,4,1,4,0,-1,2,1,0,0,0,2,0,1,2,1,0,2,1,1,1,2,0,2,0,2,0,1,0,1,0
84,0,1,1,3,1,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,4,1,1,0,0,1,2,4,1,3,3,0,-1,2,1,2,2,2,1,2,0,2,2,2,2,1,2,2,2,2,0,2,0,1,2,1,2,1
85,0,1,1,0,4,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,0,1,2,4,1,3,3,0,-1,2,1,2,0,0,1,2,0,1,2,2,2,0,0,0,0,2,0,2,0,2,1,2,0,0
86,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,4,4,1,0,0,1,3,0,5,5,5,0,1,0,2,0,0,0,0,2,2,2,0,2,2,2,2,1,1,0,2,0,0,0,2,0,0,0
87,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,0,1,3,0,5,5,5,0,-1,0,0,0,0,0,2,1,2,1,0,0,0,1,1,0,1,2,0,1,1,1,2,1,2,2
88,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,2,4,3,0,0,1,3,0,5,5,5,0,-1,1,2,2,1,2,0,2,0,2,0,2,1,1,0,0,2,1,2,2,1,0,1,2,2,1
89,0,0,1,0,3,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,0,1,3,0,5,5,5,0,-1,1,2,0,2,0,1,1,2,2,0,0,2,2,0,0,1,0,0,2,2,2,2,1,1,2
