,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11
10,0,1,0,2,1,5,4,6,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,1,3,3,3,4,5,1,-1,0,0,1,1,2,1,2,0,0,1,0
11,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,1,2,2,1,1,-1,2,0,2,2,0,1,0,1,0,2,1
12,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,1,0,1,1,0,2,2,2,2,0,0
13,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,1,2,2,1,1,2,2,1,2,0,1,1,0,0,1,1,1
14,0,1,2,3,0,2,5,3,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,4,3,4,2,-1,0,2,0,0,1,0,0,1,0,0,0
15,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,2,0,0,2,0,2,0,1,1,2,1
16,0,0,2,3,0,4,2,0,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,4,3,4,2,1,1,2,0,0,0,0,0,1,1,0,0
17,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,2,2,1,2,1,1,2,1,1,2,2
18,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,0,2,2,2,1,0,2,2,0,0,0
19,0,0,2,0,4,2,3,7,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,3,4,2,2,1,0,1,0,2,2,2,0,2,0,0,1
20,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2
21,0,0,1,1,2,1,3,2,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,4,3,4,2,0,-1,0,0,1,0,2,0,1,2,2,2,1
22,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,-1,1,1,2,1,1,2,0,1,0,0,1
23,0,0,2,0,4,5,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,3,4,2,2,1,2,0,2,1,2,1,0,0,2,2,0
24,0,0,2,0,4,2,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,3,4,2,2,1,2,0,2,1,2,1,1,1,0,2,1
25,0,0,2,3,0,4,2,0,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,4,3,4,2,1,0,2,2,2,1,2,0,0,1,1,0
26,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,1,2,0,1,1,1,1,1,2,0,0
27,0,1,0,0,4,5,4,6,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,3,4,2,2,-1,1,1,1,2,2,2,0,1,2,0,1
28,0,0,2,3,0,2,5,3,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,4,3,4,2,1,2,2,2,0,1,2,2,2,0,2,2
29,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,-1,0,0,1,2,1,1,0,1,0,1,2
30,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,1,2,2,1,1,-1,2,0,0,2,2,1,1,2,0,2,2
31,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,1,2,2,1,1,1,2,2,2,1,0
32,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,1,0,1,2,2,0,2,2,2,1,1
33,0,0,2,3,0,4,2,0,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,0,4,4,3,4,0,-1,1,2,1,0,0,1,0,1,0,1,0
34,0,0,2,0,4,2,3,7,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,3,3,3,4,2,2,1,1,0,2,1,2,2,2,1,1,1,2
35,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,1,2,2,1,1,2,2,2,0,2,1,0,1,1,0,2,1
36,0,1,0,0,4,5,4,6,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,3,4,2,2,1,1,1,2,2,2,2,0,2,1,1,2
37,0,1,0,0,4,5,4,6,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,1,3,3,3,4,2,1,1,1,2,0,0,0,2,0,1,2,0,1
38,0,1,2,0,4,5,4,3,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,3,3,3,4,2,2,1,0,0,1,0,0,1,1,0,1,2,0
39,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,1,2,2,5,1,2,0,2,0,2,0,0,0,2,0,2,1
40,0,0,2,3,0,2,5,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,4,3,4,2,1,1,1,1,1,2,0,0,0,0,2,2
41,0,0,2,3,0,4,2,5,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,4,3,4,2,1,0,2,0,1,0,1,2,1,1,1,0
42,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,0,1,2,0,1,1,1,1,0,0,0
43,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,1,2,2,1,1,2,1,1,1,2,2,2,0,0,1,1,0
44,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,5,1,2,2,0,1,1,0,2,0,0,2,1,0
45,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,-1,1,1,2,0,2,2,0,0,1,0,1
46,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,2,0,2,1,0,2,2,1,2,1
47,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,2,0,0,2,2,1,1,0,1,1,2
48,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,-1,2,2,2,1,1,2,0,1,0,1,1
49,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,1,1,0,2,1,2,1,2,2,2,0
50,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,1,1,0,1,0,2,0,2,2,2,0
51,0,0,2,3,0,4,2,0,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,4,3,4,2,1,1,1,1,0,0,2,0,0,2,0,1
52,0,1,0,2,1,0,6,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,-1,0,1,2,1,1,1,1,0,2,0,0
53,0,0,2,3,0,2,3,0,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,0,4,4,3,4,2,1,0,2,0,1,2,1,0,1,0,2,0
54,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,1,0,1,1,2,2,1,0,0,0,2
55,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,1,2,2,5,1,2,0,2,0,0,0,2,1,2,1,1,0
56,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,2,2,0,0,1,1,0,0,0,2,2
57,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,0,0,1,2,2,1,1,1,2,0,1
58,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,0,1,2,1,0,2,2,0,2,1
59,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,1,2,2,2,1,0,1,2,2,0,2
60,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,3,1,2,2,1,1,-1,1,2,1,2,1,2,1,2,0,1,2
61,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,2,0,1,2,1,0,1,2,0,2,1
62,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,0,0,1,0,0,0,1,2,0,0,2
63,0,0,2,3,0,4,2,0,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,0,4,4,3,4,2,-1,0,2,1,2,2,1,1,2,1,1,1
64,0,1,0,2,3,3,1,4,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,1,3,1,2,2,1,1,-1,1,2,1,2,2,0,2,2,0,0,0
65,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,2,0,2,1,2,2,2,1,0,2,2
66,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,2,2,0,2,1,0,2,2,2,0,2
67,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,1,0,0,1,2,1,1,0,0,0,0
68,0,0,2,0,4,5,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,3,4,2,2,1,0,1,0,2,0,1,2,1,0,0,0
69,0,0,2,0,4,2,3,7,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,3,3,3,4,2,2,1,2,2,0,1,1,1,0,2,0,1,0
70,0,0,0,0,4,5,4,6,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,1,3,3,3,4,2,2,-1,1,1,0,0,2,1,0,2,0,0,0
71,0,1,0,2,3,3,1,4,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,1,2,2,1,1,-1,2,2,0,1,1,2,1,1,1,0,0
72,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,1,2,2,2,0,1,1,2,2,0,1
73,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,1,2,2,5,1,2,0,2,2,0,1,1,1,2,1,2,1
74,0,0,1,1,2,1,0,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,-1,1,0,0,0,2,0,0,2,0,0,1
75,0,0,2,3,0,4,2,0,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,0,4,4,3,4,2,-1,1,2,1,1,0,0,2,0,1,2,0
76,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,2,1,1,1,0,1,2,1,2,2,2
77,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,0,0,2,0,0,2,0,0,0,0,0
78,0,0,2,0,4,2,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,3,3,3,4,2,2,1,0,0,0,2,0,0,0,0,0,1,0
79,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,2,1,1,1,1,1,1,2,2,0,0
80,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,2,1,1,2,2,1,0,2,2,1,2
81,0,1,2,0,0,2,5,3,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,4,3,4,2,1,1,2,0,0,2,1,0,1,2,2,2
82,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,0,1,1,2,2,2,0,0,1,2,1
83,0,0,1,1,2,1,3,7,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,2,3,3,3,4,2,0,-1,2,1,0,0,0,2,0,1,2,1,0
84,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,2,1,2,2,2,1,2,0,2,2,2
85,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,2,1,2,0,0,1,2,0,1,2,2
86,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,0,2,0,0,0,0,2,2,2,0,2
87,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,0,0,0,0,0,2,1,2,1,0,0
88,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,1,2,2,1,2,0,2,0,2,0,2
89,0,1,0,0,4,5,4,6,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,3,4,2,2,1,1,2,0,2,0,1,1,2,2,0,0
90,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,1,2,2,5,1,2,1,0,0,1,2,1,0,0,1,2,0
91,0,0,2,0,4,5,3,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,3,4,2,2,1,0,1,0,1,1,2,0,1,0,2,0
92,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,5,1,2,0,2,2,1,2,2,1,2,1,1,1
93,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,1,0,2,0,1,1,0,2,0,1,1
94,0,1,0,2,1,0,6,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,-1,1,2,0,2,1,0,2,0,2,0,1
95,0,0,1,0,4,2,3,7,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,2,3,3,3,4,2,2,1,2,0,0,2,2,1,2,0,0,0,0
96,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,0,1,0,0,0,1,1,0,2,2
97,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,1,2,2,1,1,-1,1,1,1,2,1,0,2,2,2,1,1
98,0,1,0,2,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,1,2,2,1,1,2,2,1,1,2,2,2,1,2,0,1,2
99,0,0,1,1,2,1,0,2,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,2,1,0,0,0,2,0,0,0,1,0
100,0,1,0,2,1,0,6,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,-1,0,0,0,0,1,2,1,0,2,2,2
101,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,1,0,1,0,0,2,2,1,1,1,1
102,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,0,1,2,0,1,0,0,1,0,0,0,1
103,0,0,1,1,2,1,0,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,1,0,0,-1,0,2,0,2,1,2,0,0,2,1,2
104,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0
105,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,1,1,2,2,1,1,1,0,1,2
106,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,2,2,0,2,0,2,1,0,1,0,2
107,0,0,2,0,4,5,4,6,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,3,3,3,4,2,2,1,0,1,0,1,1,0,1,2,2,2,1
108,0,0,2,3,0,2,5,0,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,4,4,3,4,2,1,1,2,0,1,0,2,2,1,0,1,1
109,0,1,0,0,4,5,4,6,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,1,3,3,3,4,2,1,1,0,0,2,0,0,1,0,1,2,0,2
110,0,0,2,3,0,2,5,3,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,4,4,3,4,2,1,1,2,0,2,2,2,0,2,1,0,0
111,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,-1,0,1,0,1,1,0,2,2,0,2,0
112,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,1
113,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,5,6,7,0,0,2,2,0,2,2,2,2,0,2,2,2
114,0,0,2,0,4,2,5,3,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,3,4,2,2,1,0,0,0,0,0,2,0,2,1,1,1
115,0,1,0,2,3,3,1,4,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,1,2,2,1,1,-1,1,2,0,1,1,0,2,1,0,2,0
116,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,-1,2,0,0,2,2,2,0,1,0,1,0
117,0,1,0,2,1,0,6,6,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,1,1,2,2,0,0,5,1,-1,0,2,0,2,2,1,2,2,1,1,1
118,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,5,1,2,1,1,2,0,0,0,2,0,1,2,1
119,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,5,1,2,1,0,2,0,0,0,2,0,1,0,1
120,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,0,1,0,1,1,0,1,0,2,0
121,0,0,2,3,0,4,2,5,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,0,2,0,4,4,3,4,2,-1,2,2,1,0,0,0,1,1,2,1,2
122,0,0,2,3,0,2,5,3,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,4,3,4,2,1,0,2,2,2,2,1,1,1,0,0,1
123,0,0,2,3,0,2,2,0,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,2,0,4,4,3,4,2,1,0,1,0,1,0,1,2,1,2,1,1
124,0,1,0,2,3,3,1,4,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,1,2,2,1,1,-1,0,1,1,2,1,0,2,0,2,1,2
125,0,1,0,2,1,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,2,0,0,3,1,2,0,1,2,2,0,2,1,0,1,0,0
126,0,0,2,0,0,2,5,3,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,4,3,4,2,1,1,2,2,0,0,0,1,0,2,1,1
127,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,0,1,5,6,0,0,2,1,0,0,2,0,1,0,2,2,0
