,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15,random_n16,random_n17
10,0,0,0,0,0,0,6,5,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,0,1,1,4,6,3,1,-1,0,0,0,2,0,1,1,2,2,0,1,2,2,1,2,1,0
11,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,2,0,4,1,-1,2,0,0,1,1,1,1,1,2,1,0,0,1,0,2,1,2
12,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,1,0,2
13,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,2,0,4,1,2,0,1,1,2,0,0,0,1,1,2,2,0,1,0,1,2,1
14,0,0,2,2,3,2,5,0,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,0,3,2,2,2,-1,1,1,1,2,1,1,2,2,1,0,0,1,0,2,1,0,2
15,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,2,0,1,1,1,0,2,0,0,2,2,2,2,0,1,2,0
16,0,1,2,2,3,5,0,4,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,0,3,2,2,2,1,2,0,0,2,1,0,2,1,2,1,2,2,1,2,2,0,2
17,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,1,2,0,0,0,2,1,0,2,2,0,1,0,0,0,2,0
18,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,0,1,0,1,2,1,2,1,0,0,2,2,1,1,2,0,2,2
19,0,1,2,3,2,2,1,6,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,4,6,5,2,1,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,2
20,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,2,1,1,0,0,1,0,1,2,1,1,1,2,1,2,2,0
21,0,1,1,1,1,1,1,4,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,3,0,4,6,5,0,-1,1,1,0,1,2,2,0,2,0,0,0,2,2,0,1,1,1
22,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,-1,1,1,2,0,0,0,1,2,0,2,1,0,1,0,0,0,2
23,0,1,2,3,2,0,1,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,4,6,5,2,1,2,1,2,1,0,1,0,1,2,0,1,1,1,0,2,2,2
24,0,1,2,3,2,2,1,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,4,6,5,2,1,0,0,1,1,0,2,0,1,2,2,1,0,0,0,0,2,2
25,0,1,2,2,3,5,0,4,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,0,3,2,2,2,1,0,1,1,1,2,0,0,1,1,1,0,0,2,1,2,0,2
26,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,1,1,0,0,1,1,2,1,2,0,2,1,0,1,1,2,0
27,0,0,0,3,2,0,6,5,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,4,6,5,2,-1,2,1,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0
28,0,1,2,2,3,2,5,0,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,0,3,2,2,2,1,2,0,2,0,1,2,2,0,1,1,1,0,1,2,1,2,0
29,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,-1,0,0,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2
30,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,2,0,4,1,-1,0,1,0,2,2,0,1,2,2,0,0,1,1,0,0,0,1
31,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,0,2,2,2,1,1,2,0,2,0,0,1,2,1,2,0,1
32,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,0,1,0,1,1,1,1,0,1,0,2,1,2,1,1,2,1
33,0,1,2,2,3,5,0,4,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,3,0,3,2,2,0,-1,0,2,2,0,1,2,1,2,0,0,0,2,0,2,2,0,0
34,0,1,2,3,2,2,1,6,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,1,1,4,6,5,2,1,1,1,0,0,2,2,0,1,1,1,0,1,2,2,1,1,0
35,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,3,2,0,4,1,2,0,1,0,0,2,0,1,2,0,2,2,1,2,0,1,1,2
36,0,0,0,3,2,0,6,5,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,4,6,5,2,1,2,0,2,1,1,0,2,1,2,0,0,0,1,2,0,1,2
37,0,0,0,3,2,0,6,5,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,0,1,1,4,6,5,1,1,1,0,2,1,2,0,2,0,1,0,1,0,2,2,1,2,2
38,0,0,2,3,2,0,6,0,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,1,4,6,5,2,1,1,2,0,0,2,2,1,2,2,0,0,0,0,1,1,0,2
39,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,2,0,3,1,2,1,1,2,1,2,0,2,0,0,0,2,2,2,1,0,1,0
40,0,1,2,2,3,2,5,0,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,0,3,2,2,2,1,2,1,0,1,0,0,1,1,1,2,0,2,1,1,0,1,2
41,0,1,2,2,3,5,0,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,0,3,2,2,2,1,2,2,1,2,1,0,2,2,1,0,0,0,2,1,2,0,0
42,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,1,2,2,2,1,1,0,2,0,1,0,1,0,1,0,1,1
43,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,3,2,0,4,1,2,0,0,2,1,2,0,0,0,2,2,0,0,0,0,2,0,0
44,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,3,1,2,2,2,1,0,0,2,0,2,2,2,2,0,1,2,0,1,2
45,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,-1,2,1,2,1,1,1,1,1,0,2,1,2,1,1,2,0,0
46,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,1,0,2,2,2,0,1,1,0,1,0,2,0,1,1,1,2
47,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,2,0,1,0,0,0,1,2,2,2,2,2,1,1,2,0,2
48,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,-1,2,0,1,1,0,1,0,1,2,2,0,0,0,0,2,1,0
49,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,0,1,2,0,1,0,2,0,1,1,0,2,1,1,2,1,0
50,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,2,0,2,0,1,2,0,0,0,1,0,0,1,0,1,1,0
51,0,1,2,2,3,5,0,4,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,0,3,2,2,2,1,2,2,2,0,2,1,0,1,1,1,0,1,0,0,2,0,2
52,0,0,0,0,0,3,2,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,-1,1,0,2,2,1,2,2,1,2,2,0,1,0,0,2,1,1
53,0,1,2,2,3,2,1,4,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,3,0,3,2,2,2,1,0,1,2,2,0,2,0,2,0,2,0,2,2,0,1,0,2
54,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,1,2,2,0,1,2,0,1,0,2,0,0,1,2,0,1,1
55,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,3,2,0,3,1,2,1,1,0,2,0,2,0,0,1,2,2,2,1,0,2,2,2
56,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,0,1,1,2,0,2,2,0,1,1,0,1,0,2,1,1,1,1
57,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,1,2,2,1,0,0,1,0,2,2,2,2,0,2,0,2,1
58,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,2,2,0,1,1,1,0,2,0,2,1,2,0,2,0,0,0
59,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,0,2,1,1,2,0,1,1,1,2,2,0,2,1,2,1,1
60,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,0,1,3,2,0,4,1,-1,0,2,1,2,2,0,1,1,2,1,0,0,0,2,1,1,2
61,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,0,0,2,0,2,1,1,1,2,1,1,1,0,0,2,1,0,1
62,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,0,0,1,2,1,2,2,1,1,2,1,2,2,0,2,0,2,2
63,0,1,2,2,3,5,0,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,0,3,2,2,2,-1,1,0,2,0,2,2,0,1,0,0,0,1,0,0,1,2,0
64,0,0,0,0,4,4,4,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,0,1,3,2,0,4,1,-1,1,1,1,0,1,2,1,1,2,0,2,0,1,2,0,2,2
65,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,0,2,2,1,0,0,0,0,2,2,2,1,2,1,1,0,0
66,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,1,2,0,1,0,0,2,2,1,2,0,2,2,1,1,2,2
67,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,2,0,2,1,2,2,0,2,1,0,2,2,1,1,0,2,1
68,0,1,2,3,2,0,1,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,4,6,5,2,1,0,0,1,1,0,2,2,1,0,2,1,0,0,0,2,2,2
69,0,1,2,3,2,2,1,6,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,1,4,6,5,2,1,1,0,2,2,1,2,2,2,1,0,1,1,2,0,0,1,2
70,0,1,0,3,2,0,6,5,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,0,1,1,4,6,5,2,-1,0,1,2,0,1,1,2,2,0,2,1,0,2,1,1,2,1
71,0,0,0,0,4,4,4,7,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,2,0,4,1,-1,2,1,2,0,1,1,1,1,0,1,1,2,0,0,1,0,1
72,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,1,1,2,1,0,2,2,2,1,0,2,0,2,1,1,0,1
73,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,2,0,3,1,2,0,1,1,1,2,2,2,2,1,0,0,2,0,1,0,2,0
74,0,1,1,1,1,1,3,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,-1,1,0,2,0,1,2,1,2,2,1,0,2,1,0,1,2,0
75,0,1,2,2,3,5,0,4,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,3,0,3,2,2,2,-1,0,0,0,0,2,2,0,0,2,1,0,0,1,0,0,0,2
76,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,2,1,0,0,1,0,0,1,0,1,2,0,2,1,0,2,2
77,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,2,1,0,0,1,0,1,2,1,0,1,0,2,0,1,2,0
78,0,1,2,3,2,2,1,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,1,4,6,5,2,1,2,0,1,0,2,0,2,0,0,2,0,0,2,2,2,2,1
79,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,2,1,1,1,0,1,2,1,2,1,0,0,0,1,2,0,0
80,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,1,0,0,1,0,1,1,0,2,0,0,2,0,0,1,0,2
81,0,0,2,3,3,2,5,0,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,0,3,2,2,2,1,0,2,1,2,0,2,0,2,1,0,2,0,1,1,2,0,0
82,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,0,0,0,1,2,0,2,0,0,2,1,0,0,1,1,2,1
83,0,1,1,1,1,1,1,6,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,2,1,1,4,6,5,0,-1,2,0,0,0,1,1,0,1,1,2,0,1,1,1,0,2,1
84,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,0,1,2,2,0,1,1,1,2,2,2,0,2,1,2,0,1
85,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,1,0,0,0,2,1,0,1,2,1,0,1,0,1,1,2,0
86,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,0,1,0,2,2,2,1,2,0,2,2,1,1,1,1,0,1
87,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,0,0,0,0,1,1,2,2,0,1,0,2,1,0,2,2,0,0
88,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,1,2,2,0,1,1,1,0,1,1,1,2,1,2,0,0,2
89,0,0,0,3,2,0,6,5,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,4,6,5,2,1,2,2,0,0,1,0,0,0,1,0,1,2,1,2,0,0,0
90,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,2,0,3,1,2,1,2,2,1,2,0,0,2,2,1,1,0,2,0,0,0,0
91,0,1,2,3,2,0,1,6,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,4,6,5,2,1,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,1,0
92,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,3,1,2,1,0,2,1,1,0,1,2,0,2,0,2,1,1,1,1,1
93,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,1,1,1,2,0,1,2,2,0,1,2,1,2,0,2,0,0
94,0,0,0,0,0,3,2,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,-1,0,2,0,0,0,1,0,1,2,2,2,1,1,0,1,0,1
95,0,1,1,3,2,2,1,6,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,2,1,1,4,6,5,2,1,1,2,1,2,1,2,1,1,2,1,0,2,2,0,0,0,0
96,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,2,1,2,0,2,2,1,1,1,2,2,2,2,1,2,0,2
97,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,3,2,0,4,1,-1,2,2,0,1,2,0,1,0,1,0,0,1,0,1,0,1,2
98,0,0,0,0,4,4,4,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,3,2,0,4,1,2,0,2,0,2,0,2,2,0,0,1,2,2,2,1,1,1,0
99,0,1,1,1,1,1,3,2,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,-1,2,0,2,1,0,0,0,0,0,2,2,2,0,2,0,2,0
100,0,0,0,0,0,3,2,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,-1,0,1,2,0,2,1,0,2,1,0,2,2,1,1,2,2,0
101,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,2,2,2,2,2,0,2,0,2,1,2,1,2,1,1,1,2
102,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,0,2,0,0,0,0,2,1,0,2,1,0,0,2,2,2,0,1
103,0,1,1,1,1,1,3,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,1,7,0,-1,2,2,2,1,0,1,0,1,0,0,0,1,0,0,1,0,2
104,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,1,1,1,1,0,0,0,0,0,2,2,2,0,1,1,0,0
105,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,4,6,1,2,2,0,1,2,2,1,0,1,1,0,0,2,1,0,0,0,1
106,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,1,0,0,2,0,0,0,0,1,0,1,0,2,0,0,2,2,0,2,0
107,0,1,2,3,2,0,6,5,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,1,1,4,6,5,2,1,0,0,0,1,0,1,2,1,1,1,2,1,0,1,2,2,1
108,0,1,2,2,3,2,5,0,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,3,0,3,2,2,2,1,0,0,2,2,0,2,1,0,2,1,1,1,2,2,0,0,0
109,0,0,0,3,2,0,6,5,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,0,1,1,4,6,5,1,1,2,1,0,0,0,1,0,0,0,2,1,2,1,0,1,0,2
110,0,1,2,2,3,2,5,0,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,3,0,3,2,2,2,1,2,1,0,0,1,0,0,0,1,2,2,0,2,0,2,0,1
111,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,1,5,0,0,-1,0,0,1,2,2,0,0,1,0,1,2,1,1,2,1,0,0
112,0,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,1,7,0,0,0,1,0,1,1,1,2,1,2,0,1,1,2,2,0,2,2
