,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5
19,0,0,1,2,0,3,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,0,2,0,0,1,3,4,0,6,7,0,-1,0,0,0,0,1
20,0,0,1,2,0,3,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,2,0,6,0,0,1,3,4,1,6,7,0,-1,0,0,0,0,1
21,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,5,7,0,0,1,3,4,1,6,2,0,-1,1,0,1,0,1
22,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,1,7,0,1,0,0,2,2,0,3,7,-1,0,1,1,0,0
23,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,5,6,0,1,2,2,1,0,1,1,0,-1,0,1,0,0,1
24,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,3,0,0,0,1,2,2,1,3,2,1,0,-1,1,1,0,0,0
25,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,0,1,1,0,1,2,2,1,3,2,5,4,-1,0,0,0,0,1
26,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,3,4,5,0,1,0,0,2,2,0,3,0,-1,0,0,1,1,1
27,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,5,3,1,0,1,2,2,1,0,1,1,0,-1,0,0,0,0,1
28,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,0,0,5,0,1,0,0,2,2,0,3,0,-1,1,1,0,1,1
29,0,1,2,3,2,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,3,0,0,1,2,2,1,0,1,1,0,-1,0,1,0,1,0
30,0,1,2,3,1,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,3,5,1,0,1,2,2,1,3,2,5,7,-1,0,1,0,1,0
31,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,0,6,4,0,1,0,0,2,2,0,3,0,-1,0,0,1,1,0
32,0,1,2,3,2,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,3,0,1,2,2,1,3,2,3,0,-1,1,0,0,0,1
33,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,3,2,0,0,1,2,2,1,2,0,3,0,-1,1,1,1,1,0
34,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,5,3,3,0,1,0,0,2,2,0,3,0,-1,1,0,1,0,0
35,0,1,0,3,2,5,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,3,0,5,0,1,0,0,2,2,0,3,0,-1,1,0,0,0,1
36,0,1,0,1,4,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,6,6,0,1,0,0,2,2,0,3,0,-1,1,1,1,0,1
37,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,0,3,7,0,0,1,1,3,4,5,4,0,-1,0,1,0,0,0
38,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,5,7,0,0,1,1,3,4,5,4,0,-1,0,1,0,1,1
39,0,0,0,1,4,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,1,3,0,0,1,0,0,2,2,0,3,0,-1,0,0,1,0,1
40,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,1,1,3,4,5,4,0,-1,1,0,1,0,0
41,0,0,0,1,0,5,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,0,6,3,0,0,0,0,2,2,0,3,0,-1,1,0,0,1,1
42,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,0,0,1,2,2,1,3,2,5,7,-1,1,0,0,0,0
43,0,0,0,1,4,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,6,1,0,1,0,0,2,2,0,3,0,-1,1,1,1,0,1
44,0,0,1,2,3,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,3,1,3,0,0,0,0,2,2,0,3,0,-1,1,1,0,1,0
45,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,1,2,2,1,3,2,5,0,-1,1,1,1,0,0
46,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,2,0,3,0,0,1,3,4,1,6,2,0,-1,0,1,0,0,1
47,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,4,2,3,0,1,0,0,2,2,0,3,0,-1,1,0,1,1,0
48,0,0,1,2,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,4,4,0,0,1,3,4,1,6,7,0,-1,1,0,1,0,0
49,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,2,6,2,0,0,1,1,3,4,5,4,0,-1,0,0,1,1,0
50,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,1,1,0,5,5,2,0,-1,0,0,1,1,0
51,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,1,1,0,5,3,0,0,-1,1,0,0,0,0
52,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,1,1,0,5,6,2,0,-1,0,0,1,0,0
53,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,5,4,1,0,1,2,2,1,0,1,1,0,-1,0,0,0,1,1
54,0,0,1,2,3,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,0,2,7,0,0,1,1,3,0,1,4,0,-1,1,0,0,0,1
55,0,0,1,2,3,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,0,1,3,4,1,6,2,0,-1,1,1,1,1,1
56,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,1,2,2,1,3,2,1,0,-1,1,1,1,0,1
57,0,1,0,1,4,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,4,4,2,0,1,0,0,2,2,0,3,0,-1,0,1,1,1,0
58,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,5,4,0,0,1,1,0,5,3,0,0,-1,1,1,0,1,0
59,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,0,1,3,4,1,6,2,0,-1,0,1,0,0,0
60,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,0,1,3,4,1,6,2,0,-1,0,0,0,1,1
61,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,0,1,3,4,1,6,2,0,-1,1,0,1,1,1
62,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,1,0,0,2,2,0,3,0,-1,1,0,0,1,1
63,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,0,1,3,4,1,6,2,11,-1,0,1,0,0,0
64,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,1,0,0,2,2,0,3,0,-1,1,0,0,1,1
65,0,1,0,1,4,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,1,3,7,0,1,0,0,2,2,0,3,0,-1,1,1,1,0,1
66,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,0,1,3,4,1,6,2,0,-1,1,1,0,1,1
67,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,1,1,0,5,6,2,0,-1,1,1,0,1,0
68,0,1,0,1,4,1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,1,0,0,2,2,4,6,13,-1,0,0,1,1,0
69,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,1,1,0,5,6,2,0,-1,0,1,1,1,1
70,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,1,2,2,1,0,1,1,0,-1,1,1,0,0,0
71,0,0,0,1,0,1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,0,3,4,1,4,6,11,-1,1,0,0,0,0
72,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,1,0,0,2,2,0,3,7,-1,0,0,1,1,1
73,0,0,1,2,0,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,3,0,0,0,0,3,4,0,1,7,0,-1,0,0,1,0,1
74,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,0,1,1,0,5,6,7,0,-1,0,1,1,0,1
75,0,1,2,3,2,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,1,2,2,1,0,1,1,0,-1,0,1,0,0,0
76,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,0,1,3,4,1,6,2,0,-1,1,1,1,1,1
77,0,1,2,0,1,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,4,0,1,2,2,1,3,2,5,7,-1,1,1,1,0,1
78,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,1,2,2,1,3,2,5,5,-1,1,0,1,0,1
79,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,0,1,3,4,1,6,7,0,-1,0,0,1,1,1
80,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,6,2,0,0,1,3,4,1,6,2,0,-1,1,0,1,1,0
81,0,1,0,1,4,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,3,7,0,1,0,0,2,2,0,3,0,-1,0,0,1,0,1
82,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,5,0,0,1,2,2,1,3,2,5,4,-1,0,1,0,0,1
83,0,1,2,3,2,4,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,1,2,2,1,3,2,1,6,-1,1,0,1,0,1
84,0,0,1,2,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,0,1,3,4,1,6,2,0,-1,1,1,0,1,1
85,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,1,2,2,1,0,1,1,0,-1,0,0,0,1,1
86,0,0,1,2,0,3,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,4,1,0,0,1,3,4,0,1,7,0,-1,1,0,1,0,1
87,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,1,2,2,1,0,1,1,0,-1,1,0,1,1,0
88,0,0,1,2,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,5,2,0,0,1,3,4,1,6,7,0,-1,0,0,0,1,0
89,0,1,0,1,0,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,0,0,3,4,0,1,7,0,-1,1,0,1,0,0
90,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,2,7,0,0,1,1,3,4,5,4,0,-1,0,0,0,1,0
91,0,0,1,2,0,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,5,4,3,0,0,1,3,4,0,1,7,0,-1,0,0,0,1,1
92,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,0,1,1,0,5,3,0,0,-1,1,0,0,1,1
93,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,0,1,1,4,1,6,7,0,-1,1,0,0,0,0
94,0,1,0,1,2,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,3,0,1,0,0,2,2,0,3,0,-1,1,0,0,1,1
95,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,4,0,0,1,2,2,1,0,1,1,0,-1,0,1,1,0,0
96,0,0,1,2,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,3,0,6,0,0,1,3,4,1,6,2,0,-1,1,0,1,1,1
97,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,2,0,6,3,0,0,1,3,4,1,6,2,0,-1,1,1,0,0,0
98,0,0,1,2,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,4,4,0,0,1,3,4,1,6,7,0,-1,0,0,1,1,1
99,0,0,0,1,0,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,3,0,3,2,0,0,0,3,4,1,1,7,0,-1,1,0,1,1,1
100,0,0,1,2,3,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,2,1,0,0,1,1,3,4,5,4,0,-1,1,0,1,1,0
101,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,2,5,2,0,0,1,3,4,1,6,2,0,-1,1,1,0,1,1
102,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,0,1,1,3,4,5,4,0,-1,1,0,0,0,0
103,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,5,2,0,0,1,3,4,1,6,2,0,-1,0,0,1,1,1
104,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,0,4,0,0,1,3,4,1,6,2,0,-1,0,1,1,1,0
105,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,1,0,0,2,2,0,3,0,-1,0,0,0,0,1
106,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,3,5,2,0,0,0,3,4,1,6,2,0,-1,0,0,1,1,0
107,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,1,1,0,5,6,7,0,-1,0,1,0,0,0
108,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,2,3,7,0,1,2,2,1,3,2,5,4,-1,1,1,0,1,0
109,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,4,0,0,1,3,4,1,6,7,0,-1,1,0,0,0,1
110,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,0,5,3,0,0,1,3,4,1,6,2,0,-1,1,1,0,1,0
111,0,0,0,1,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,5,6,4,0,0,0,3,4,1,4,6,0,-1,1,1,0,0,1
112,0,1,0,1,4,1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,0,0,2,2,4,6,11,-1,1,1,0,0,0
113,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,1,4,0,0,0,3,4,1,4,6,0,-1,1,1,0,0,0
114,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,2,2,0,0,0,1,3,4,1,6,2,0,-1,1,0,0,0,0
115,0,0,1,2,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,0,1,3,4,1,6,7,0,-1,0,0,0,1,1
116,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,3,2,7,0,0,0,3,4,1,4,6,11,-1,0,0,1,0,1
117,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,4,2,0,4,0,1,0,0,2,2,0,3,0,-1,0,1,0,0,0
118,0,1,0,1,4,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,3,5,3,0,1,0,0,2,2,0,3,0,-1,0,0,0,1,1
119,0,0,1,3,2,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,2,3,2,0,1,2,2,1,0,1,1,0,-1,0,1,0,0,0
120,0,0,1,2,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,4,7,0,0,1,3,4,1,6,7,0,-1,0,0,0,1,0
121,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,2,2,7,0,1,2,2,1,0,1,1,0,-1,1,1,1,0,0
122,0,1,2,0,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,5,5,0,1,2,2,1,3,2,5,3,-1,1,0,1,1,0
123,0,0,1,2,0,3,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,0,2,0,0,1,3,4,0,1,7,0,-1,1,0,1,1,0
124,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,0,1,1,0,5,4,7,0,-1,1,0,1,1,0
125,0,0,1,2,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,0,1,1,0,5,3,0,0,-1,1,1,0,0,1
126,0,0,1,2,3,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,3,0,1,0,0,1,1,3,0,1,7,0,-1,1,1,0,0,0
127,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,4,2,5,0,1,2,2,1,0,1,1,0,-1,0,0,1,0,1
128,0,1,0,1,0,5,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,2,1,2,1,0,0,0,3,4,0,1,7,0,-1,0,0,1,1,1
129,0,1,2,3,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,2,3,3,0,1,2,2,1,3,2,1,0,-1,1,1,0,1,1
130,0,0,1,2,0,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,4,0,0,0,1,3,4,1,6,7,0,-1,1,1,0,0,0
131,0,1,1,3,2,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,3,7,0,1,2,2,1,0,1,1,0,0,0,1,1,1,0
132,0,1,1,3,2,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,2,2,5,0,1,2,2,1,0,1,1,0,-1,0,1,1,0,1
