,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17
23,0,0,2,2,4,2,3,4,-1,-1,-1,-1,1,1,2,0,0,0,1,1,1,1,4,0,1,0,1,0,0,2,5,5,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
24,0,0,2,2,4,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,4,0,0,0,1,0,0,2,5,5,0,10,-1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
25,0,0,0,3,1,3,5,5,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,0,0,2,5,5,0,0,-1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1
26,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,2,5,1,2,0,-1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1
27,0,0,1,0,2,1,4,3,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,1,4,5,0,1,0,0,3,3,0,4,2,-1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
28,0,1,2,3,1,3,5,5,-1,-1,-1,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,0,0,2,5,5,0,0,-1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0
29,0,0,1,0,3,1,0,0,6,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,0,0,3,3,0,4,0,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
30,0,0,1,3,1,3,2,0,-1,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,0,0,2,5,5,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0
31,0,1,0,3,0,0,5,5,-1,-1,-1,-1,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,0,0,2,5,5,0,0,-1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
32,0,0,0,3,1,3,5,5,7,7,0,0,0,0,1,1,1,0,1,0,0,3,5,3,7,0,1,0,0,2,5,5,0,0,-1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0
33,0,0,1,3,1,3,2,0,-1,-1,0,0,0,0,1,1,1,0,1,0,1,3,5,3,7,0,1,0,0,2,5,5,0,3,-1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
34,0,1,0,3,1,3,5,5,-1,8,0,0,0,0,1,1,1,0,0,2,1,3,0,3,3,0,1,0,0,2,5,5,0,0,-1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
35,0,0,0,3,3,5,0,0,8,2,0,0,0,0,1,1,1,0,0,0,0,4,1,3,6,0,1,0,0,2,5,1,2,0,-1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1
36,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,1,2,0,-1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0
37,0,1,0,1,3,5,0,1,-1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,5,0,-1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0
38,0,1,1,0,3,5,0,1,-1,-1,0,0,0,0,1,1,1,0,0,0,0,4,1,6,6,0,1,0,2,3,4,3,5,0,-1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
39,0,1,0,1,0,5,1,1,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,1,1,4,5,1,2,0,-1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1
40,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,1,2,1,2,5,1,2,0,21,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
41,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1
42,0,0,1,3,1,3,2,0,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,0,0,2,5,5,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
43,0,1,0,1,0,0,5,5,-1,-1,0,0,0,0,1,1,1,0,0,2,2,0,2,5,3,0,1,0,0,2,5,5,0,0,-1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1
44,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,2,5,1,1,0,21,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
45,0,0,1,3,1,3,2,0,-1,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,0,0,2,5,5,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0
46,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,17,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1
47,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,2,5,1,1,0,21,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
48,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,-1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
49,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,1,2,0,-1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
50,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,6,7,0,-1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1
51,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,5,0,-1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0
52,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,1,1,0,0,6,7,0,-1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1
53,0,0,1,0,2,1,4,0,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,0,0,3,3,0,4,0,-1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1
54,0,1,0,1,3,5,5,5,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,2,5,1,2,0,-1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
55,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,6,1,0,-1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0
56,0,0,2,2,4,2,3,2,-1,9,2,1,2,2,2,0,0,0,1,1,1,1,0,0,1,0,1,0,0,2,5,5,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1
57,0,1,0,1,0,0,5,5,10,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,0,0,2,5,1,2,0,-1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0
58,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,4,6,0,-1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
59,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,17,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1
60,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,14,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
61,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,17,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1
62,0,1,0,1,0,0,5,5,10,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,0,0,2,5,1,2,0,-1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
63,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0
64,0,1,0,1,0,0,5,5,-1,10,3,0,0,0,1,1,1,0,0,1,2,0,0,3,3,0,1,0,0,2,5,5,0,0,-1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1
65,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,2,5,1,2,0,-1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
66,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1
67,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,6,7,0,-1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
68,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,17,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1
69,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,4,6,0,-1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0
70,0,0,2,3,1,3,2,2,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,1,3,0,1,0,0,2,5,5,0,3,-1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0
71,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
72,0,0,2,3,1,3,5,5,-1,-1,4,2,0,0,1,1,1,0,1,1,1,3,0,1,3,0,1,0,0,2,5,5,0,1,-1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
73,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,1,1,2,5,1,2,0,22,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
74,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,-1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
75,0,1,0,3,1,3,5,5,-1,11,0,0,0,0,1,1,1,0,0,2,0,3,3,3,4,0,1,0,0,2,5,5,0,0,-1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1
76,0,1,0,1,3,5,0,1,-1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,5,0,-1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
77,0,0,2,3,1,3,2,5,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,0,0,2,5,5,0,0,-1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0
78,0,0,1,0,2,1,4,3,11,6,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,0,0,3,3,0,4,2,27,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0
79,0,1,0,1,0,5,1,1,1,2,0,0,0,0,1,1,1,0,0,2,0,0,3,2,4,0,0,1,1,4,1,1,2,0,18,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
80,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,-1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
81,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,4,6,0,-1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1
82,0,0,1,0,2,1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,3,1,4,0,5,0,1,0,0,3,3,0,4,2,-1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
83,0,0,1,0,2,1,4,3,-1,12,1,0,0,0,1,1,1,0,1,0,3,2,4,4,5,0,1,0,0,3,3,0,4,4,29,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
84,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
85,0,0,1,3,1,3,2,0,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,0,0,2,5,5,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1
86,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,2,0,3,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
87,0,0,1,3,1,3,2,0,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,0,0,2,5,5,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0
88,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,0,1,1,0,0,6,7,0,-1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0
89,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,2,0,3,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0
90,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,3,2,0,3,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
91,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,1,2,3,4,3,5,0,-1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
92,0,1,0,1,0,0,5,5,12,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,0,0,2,5,1,0,0,24,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1
93,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,1,2,0,-1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
94,0,1,0,1,3,5,5,5,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,2,5,1,2,0,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
95,0,0,1,0,2,1,4,0,13,13,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,0,0,3,3,0,4,2,26,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1
96,0,1,0,1,3,5,1,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,4,6,0,-1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1
97,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1
98,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,6,1,0,-1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1
99,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,4,1,2,0,-1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
100,0,1,0,1,0,0,5,5,0,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,0,0,2,5,1,0,0,24,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
101,0,1,0,1,0,0,1,7,14,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,-1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0
102,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,1,1,0,0,6,7,0,7,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
103,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,15,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
104,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,0,6,1,0,14,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0
105,0,1,0,1,0,0,5,5,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,0,0,2,5,1,0,0,24,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
106,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,10,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
107,0,1,0,1,0,5,1,1,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,1,1,4,1,4,6,0,-1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
108,0,0,2,3,1,3,2,2,-1,-1,-1,3,3,0,1,1,1,0,1,1,1,3,5,1,7,0,1,0,0,2,5,5,0,3,-1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0
109,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,0,0,1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
110,0,1,0,1,0,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,2,2,3,0,16,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0
111,0,1,0,1,3,5,0,1,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,1,4,6,0,-1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
