,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2
0,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
1,0,1,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,2,1,1,4,4,3,1,2
2,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,2,1,3,4,4,3,1,2
3,0,1,0,2,0,0,2,6,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,0,2,2,6,0,1
4,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
5,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,0,2,3,2,0,1
6,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,2,1,3,4,4,3,1,2
7,0,1,0,2,0,3,2,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,2,6,0,1
8,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,2,1,3,4,4,3,1,2
9,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
10,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
11,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,0,2,3,2,0,1
12,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,0,2,3,2,0,1
13,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
14,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
15,0,0,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
16,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,0,2,3,2,0,1
17,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
18,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
19,0,1,0,2,0,3,2,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,0,2,2,6,0,1
20,0,1,2,3,4,4,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,2,1,3,4,4,3,1,2
21,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
22,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,2,1,3,4,4,3,1,2
23,0,1,2,0,2,2,4,5,-1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
24,0,0,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
25,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
26,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
27,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
28,0,1,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,2,1,1,4,4,3,1,2
29,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
30,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,0,2,3,2,0,1
31,0,0,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
32,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
33,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,2,1,3,4,4,3,1,2
34,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,0,2,3,2,0,1
35,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
36,0,1,2,3,2,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,2,1,1,3,0,4,1,2
37,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
38,0,0,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
39,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,2,1,1,3,0,5,1,2
40,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,2,1,5,1,2,0
41,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,2,1,3,4,4,3,1,2
42,0,1,0,2,3,0,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,0,2,3,2,0,1
43,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,2,1,3,4,4,3,1,2
44,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
45,0,1,0,2,0,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,4,0,6,7,0,1
46,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
47,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,5,1,0,2,0
48,0,1,2,0,2,2,4,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,2,1,1,3,0,5,1,2
49,0,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,2,1,3,4,4,3,1,2
50,0,1,0,2,0,3,2,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,0,2,2,6,0,1
51,0,1,2,0,2,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,2,1,1,3,0,4,1,2
