,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4
11,0,0,2,0,2,5,2,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,0,2,1,2,1,0,2,1,0,1,1,1,0
12,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,0,2,4,3,0,1,0,1,1,1
13,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,1,1,1,1
14,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,1,0,0
15,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,0,1,1,0,0,1,1,1
16,0,0,2,0,3,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,0,1,1,1
17,0,1,0,2,4,4,5,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,1,1,0,1
18,0,1,0,1,1,1,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,3,5,0,1,0,0,0,0
19,0,0,1,3,2,1,6,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,6,5,1,1,0,0,0,0
20,0,1,0,1,1,3,4,7,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,1,0,0,3,3,3,0,0,1,0,0,0,0
21,0,0,2,0,3,2,3,6,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,1,0,1,0
22,0,1,0,1,1,3,4,7,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,3,3,0,0,1,0,1,1,0
23,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,0,2,4,3,0,1,0,1,0,0
24,0,1,0,1,1,1,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,3,5,0,1,1,1,0,0
25,0,1,0,2,2,5,2,4,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,1,1,2,1,6,2,0,0,0,0,0,0
26,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,0,2,4,3,0,1,0,0,1,1
27,0,0,2,0,2,5,2,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,0,2,1,2,1,0,2,1,0,0,0,0,0
28,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,5,0,1,1,0,1,1,0,1
29,0,0,2,0,3,2,3,6,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,0,1,0,1
30,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,5,5,4,1,0,0,1,0,1
31,0,0,2,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,1,1,0,1,1,0,0,0,1,1
32,0,0,1,3,2,1,6,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,6,5,1,1,1,0,0,0
33,0,0,2,0,3,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,1,1,1,1
34,0,0,2,0,2,5,2,1,-1,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,2,1,0,2,1,0,1,0,1,0
35,0,0,1,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,0,2,2,1,5,5,4,1,0,1,0,0,0
36,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,1,1,1,0
37,0,1,0,2,4,4,5,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,1,0,0
38,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,0,1,0,1
39,0,0,2,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,0,0,1,0
40,0,1,0,2,2,3,1,4,12,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,2,0,1,1,0,2,3,6,2,0,0,1,0,1,0
41,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,1,1,0,3,2,4,3,0,1,1,0,0,1
42,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,1,1,0,3,2,4,3,0,1,1,0,0,0
43,0,0,2,0,3,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,1,1,1,0
44,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,2,3,6,5,0,1,1,1,0,1
45,0,1,0,2,4,4,5,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,1,3,0,4,4,3,0,1,1,1,1,0
46,0,0,2,0,3,2,3,6,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,0,1,0,0
47,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,1,0,1,1
48,0,0,2,0,3,2,3,6,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,1,0,1,0
49,0,0,2,0,3,5,2,1,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,2,1,0,2,1,0,0,0,1,1
50,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,1,1
51,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,1,0,0,0
52,0,0,2,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,0,0,1,0
53,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,0,0,0,1
54,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,4,1,0,1,0,0,0
55,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,1,1,1,1
56,0,0,2,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,1,1,0,1,1,0,1,1,1,0
57,0,1,0,2,4,4,5,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,1,1,1
58,0,1,0,2,2,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,2,1,6,2,0,0,1,1,0,1
59,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,1,0,0
60,0,0,2,0,3,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,0,0,0,1
61,0,1,0,2,4,4,5,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,1,0,1,1
62,0,1,2,2,2,5,2,4,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,0,2,1,2,1,6,2,1,0,1,0,0,1
63,0,0,2,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,1,1,0,1,1,0,0,1,0,0
64,0,0,2,0,3,2,3,6,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,1,0,0,1
65,0,1,0,1,1,3,4,7,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,1,0,0,3,3,3,0,0,1,1,1,1,0
66,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,1,0,1
67,0,1,0,2,2,4,2,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,2,1,6,2,0,0,1,1,0,1
68,0,1,0,2,4,4,5,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,0,1,1
69,0,1,0,2,4,4,5,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,1,1,1
70,0,1,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,1,0,0,2,3,6,5,0,1,1,1,0,0
71,0,0,2,0,3,2,3,6,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,1,0,0,0
72,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,1,1
73,0,0,2,0,3,2,3,6,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,0,0,1,0
74,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,0,1,1,0
75,0,1,0,2,2,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,7,0,1,1,0,2,1,6,2,0,0,0,1,0,0
76,0,0,1,3,2,1,6,0,16,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,1,1,1,1
77,0,1,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,1,0,0,2,3,6,5,0,1,1,1,1,0
78,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,0,3,2,4,3,0,1,1,0,1,0
79,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,3,3,0,0,1,0,0,1,1
80,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,1,0,1,1
81,0,0,1,3,0,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,2,1,1,5,5,4,1,0,0,0,1,0
82,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,0,1,0,0
83,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,1,1,0,3,2,4,3,0,1,1,0,1,0
84,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,1,0,1
85,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,0,0,0,1
86,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,5,0,1,1,0,1,0,1,0
87,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,0,1,1
88,0,1,0,2,4,4,5,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,0,0,1
89,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,1,0,1,0
90,0,0,1,3,2,1,6,0,-1,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,0,1,2,3,6,5,1,1,0,0,0,1
91,0,1,0,2,4,4,5,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,1,1,3,0,4,4,3,0,1,0,0,0,1
92,0,0,1,3,0,2,0,6,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,0,2,2,1,5,5,4,1,0,1,0,0,1
93,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,0,0,0
94,0,1,0,1,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,6,5,0,1,1,0,0,1
95,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,0,1,1,0
96,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,1,1,0,3,2,4,3,0,1,1,0,1,1
97,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,1,0,0
98,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,0,0,1,1
99,0,0,1,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,0,2,2,1,5,5,4,1,0,1,0,1,1
100,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,1,0,1,1
101,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,1,0,1
102,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,0,0,0
103,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,1,1
104,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,0,2,1,1,1,0,1,1,0,0,1,1,1
105,0,1,0,2,2,5,2,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,2,1,6,2,0,0,0,0,0,0
106,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,1,1
107,0,0,2,0,3,2,3,6,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,0,2,1,1,5,5,4,1,0,0,1,0,0
108,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,1,1,0,1
109,0,1,0,2,2,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,2,1,6,2,0,0,1,0,0,0
110,0,1,0,1,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,6,5,0,1,1,1,0,1
111,0,0,2,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,5,0,0,2,1,1,5,0,1,1,0,1,1,0,0
112,0,0,1,3,2,1,6,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,6,5,1,1,1,1,0,0
113,0,1,0,2,4,4,5,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,1,1,0,0
114,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,1,0,0,0
115,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,0,0,0,1
116,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,5,4,1,0,0,0,1,0
117,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,1,1,0,3,2,4,3,0,1,0,1,0,0
118,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,0,0,0,1
119,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,0,1,0,0
120,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,0,1
121,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,4,0,0,1,1,1,1,0
122,0,1,1,1,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,6,5,0,1,1,0,1,1
123,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,1,0,1,1
124,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,0,1,1
125,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,4,1,0,1,1,0,0
126,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,1,0,0
127,0,0,1,3,2,1,6,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,0,2,3,6,5,1,1,0,0,1,0
128,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,5,5,4,1,0,0,0,1,1
129,0,0,2,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,1,1,0,1,1,0,1,1,0,1
130,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,4,1,0,1,1,0,0
131,0,1,0,2,4,4,5,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,3,0,1,0,1,1,1
132,0,0,1,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,0,1,1,0
133,0,0,2,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,1,1,0,1,1,0,1,1,1,0
134,0,0,2,0,3,2,3,6,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,0,1,1,0
135,0,0,2,0,2,5,2,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,0,2,1,2,1,0,2,1,0,0,0,0,0
136,0,1,0,1,1,3,1,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,0,0,0,0
137,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,2,3,0,0,1,1,0,1,1
138,0,0,2,0,3,2,3,6,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,4,1,0,1,0,1,1
139,0,0,1,3,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,1,1,0,1
140,0,1,0,2,4,4,5,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,1,1,0,0
141,0,1,0,1,1,3,4,7,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,1,0,0,3,3,3,0,0,1,1,1,0,0
142,0,1,0,1,1,1,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,1,0,0,2,3,3,5,0,1,0,1,0,0
143,0,1,0,1,1,3,4,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,1,0,0,3,3,3,0,0,1,1,0,0,0
144,0,1,0,2,4,4,5,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,1,0,1
145,0,1,0,1,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,1,1,0,3,2,4,3,0,1,1,0,0,1
146,0,1,1,1,2,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,1,0,0,2,3,6,5,0,1,0,1,0,1
147,0,0,2,0,3,2,3,6,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,0,2,1,1,5,5,1,1,0,0,1,1,0
148,0,1,0,2,4,4,5,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,1,1,1
149,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,0,2,4,3,0,1,1,1,0,0
150,0,0,2,0,3,5,2,1,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,0,2,1,2,1,0,2,1,0,1,0,0,1
151,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,4,1,0,1,1,0,1
152,0,1,0,2,4,4,5,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,1,1,3,0,4,2,6,0,1,0,0,1,1
153,0,1,0,2,4,4,1,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,1,1,3,3,2,4,3,0,1,1,1,0,0
154,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0,2,4,0,1,7,1,0,0,1,1,0
