,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13
14,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,-1,0,1,1,0,1,1,1,1,1,1,1,0,0
15,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,1,1,3,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
16,0,1,2,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,10,0,0,1,1,0,1,0,0,1,1,1,0,0
17,0,0,0,1,4,4,6,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,-1,0,0,0,1,0,1,1,0,1,0,1,1,0
18,0,0,0,3,0,0,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,3,3,5,2,7,0,21,1,0,1,1,1,0,1,1,1,0,0,1,1
19,0,1,1,0,2,0,5,4,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,0,3,3,5,3,0,1,-1,0,1,0,0,0,0,0,0,1,1,1,1,1
20,0,0,0,3,0,1,3,7,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,0,3,0,4,2,7,0,-1,0,1,1,0,0,1,0,1,0,0,1,1,1
21,0,1,2,2,1,2,0,3,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,1,1,3,0,3,1,-1,1,1,1,0,0,0,0,1,0,1,0,0,0
22,0,0,0,3,0,1,3,7,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,-1,0,1,1,0,1,1,0,1,1,1,0,1,0
23,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,-1,0,1,1,0,1,0,0,1,0,0,0,0,0
24,0,0,0,3,0,0,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,3,3,5,2,7,0,-1,1,1,1,0,1,0,0,0,0,0,1,1,0
25,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,1,1,1,1,1,6,0,7,1,0,0,1,0,1,1,1,1,1,0,0,1
26,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,-1,0,0,1,0,1,0,1,1,1,1,1,1,0
27,0,1,2,2,2,5,4,2,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,1,1,1,1,1,6,1,5,1,1,0,1,1,1,0,1,0,1,0,1,1
28,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,0,1,0,1,1,0,0,1,1,1,0,1,1
29,0,1,2,2,1,2,0,3,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,9,0,1,0,0,0,0,1,1,1,1,1,1,0
30,0,1,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,1,1,13,1,1,0,0,0,1,0,1,1,1,0,1,1
31,0,1,2,2,1,5,4,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,1,1,3,0,3,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1
32,0,1,1,0,2,0,5,4,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,0,3,3,5,3,0,1,-1,1,1,1,1,0,1,0,0,1,1,0,0,1
33,0,1,2,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,10,1,1,1,0,1,1,1,0,1,0,0,1,0
34,0,1,2,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,1,1,1,1,3,1,-1,1,0,1,1,0,0,1,0,0,0,1,0,0
35,0,1,1,0,3,3,2,3,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,1,2,2,2,5,1,1,12,0,0,1,1,1,0,1,1,0,1,1,0,0
36,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,0,0,0,1,0,0,0,1,1,0,1,1,1
37,0,0,0,1,4,4,6,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,35,1,1,1,0,0,0,0,0,1,1,1,0,1
38,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1
39,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,2,0,0,0,1,0,1,0,1,1,1,0,1,0
40,0,0,0,1,2,1,1,2,12,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,2,0,1,1,1,1,1,1,6,0,-1,0,1,0,0,0,0,1,1,0,0,0,1,1
41,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,2,0,0,4,6,2,0,29,0,1,0,1,0,0,0,0,1,1,0,0,0
42,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,2,0,0,4,6,2,0,29,1,1,1,0,0,1,0,1,1,0,1,0,0
43,0,1,2,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,10,0,1,1,1,0,1,1,0,1,1,0,1,1
44,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,3,3,5,3,0,0,19,0,1,1,1,0,1,1,0,0,1,1,1,0
45,0,0,0,1,4,4,6,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,0,0,4,6,2,0,33,0,1,0,0,1,1,0,1,0,1,1,1,0
46,0,1,2,2,1,2,0,3,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,1,1,3,0,3,1,3,1,0,1,0,1,0,0,0,1,0,1,0,1
47,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,32,1,0,1,0,1,1,0,1,0,0,1,1,0
48,0,1,2,2,1,2,0,3,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,9,1,1,1,1,0,0,0,0,1,0,0,1,1
49,0,1,2,2,1,5,4,6,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,1,1,1,1,3,1,-1,1,1,1,1,0,0,0,0,1,1,0,0,0
50,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,24,0,1,1,1,0,1,0,0,1,0,0,0,0
51,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,0,1,1,1,0,0,0,0,1,0,1,0,0
52,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,2,0,1,1,0,0,1,1,1,0,0,0,1,1
53,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,0,1,1,0,1,1,1,0,0,1,0,0,0
54,0,1,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,-1,1,0,1,0,1,1,1,0,0,1,1,1,0
55,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,1,1,1,1,1,1,1,0,0,0,0,0,0
56,0,1,2,2,1,5,4,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,1,1,3,0,3,1,2,0,0,0,0,0,0,0,1,1,0,1,1,1
57,0,0,0,1,4,4,6,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,36,1,1,0,0,1,1,0,0,1,0,0,1,1
58,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,1,1,1,1,6,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0
59,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,25,0,0,1,0,0,0,0,1,0,0,0,0,1
60,0,1,2,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,10,1,1,1,0,1,1,0,1,0,0,0,0,0
61,0,0,0,1,4,4,6,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,35,0,1,0,0,1,0,0,1,0,1,0,0,1
62,0,0,2,1,2,5,4,2,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,1,1,1,1,1,6,1,6,0,0,0,0,1,0,1,0,1,0,1,0,1
63,0,1,2,2,1,5,4,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,1,1,3,0,3,1,2,1,0,1,1,0,0,1,0,1,1,0,1,1
64,0,1,2,2,1,2,0,3,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,-1,1,0,0,0,1,0,1,0,0,0,1,0,1
65,0,0,0,3,0,1,3,7,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,0,0,3,0,4,2,7,0,-1,0,0,1,0,1,0,1,1,1,0,1,0,1
66,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,26,0,1,0,1,1,1,0,1,0,1,1,1,1
67,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,1,1,1,1,6,0,-1,0,0,1,0,0,1,0,1,1,1,0,1,1
68,0,0,0,1,4,4,6,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,34,0,1,1,0,0,1,1,0,0,1,0,0,1
69,0,0,0,1,4,4,6,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,35,0,0,1,1,1,1,0,0,1,1,0,0,1
70,0,0,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,3,3,5,3,0,0,-1,1,1,0,1,0,1,1,0,0,0,1,1,0
71,0,1,2,2,1,2,0,3,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,1,1,3,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
72,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,23,0,0,1,1,0,0,0,0,0,1,1,1,0
73,0,1,2,2,1,2,0,3,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,2,2,3,0,1,1,9,1,1,1,1,1,1,0,0,0,0,0,1,0
74,0,1,1,0,3,3,2,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,16,1,1,1,1,0,0,1,1,0,0,0,1,1
75,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,7,0,1,1,1,1,1,1,6,0,-1,0,1,0,1,0,0,1,1,1,0,0,1,0
76,0,1,1,0,2,0,5,4,16,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,-1,1,0,0,0,1,0,0,1,1,0,1,0,1
77,0,0,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,3,3,5,3,0,0,19,0,1,1,0,0,1,0,0,0,1,0,1,0
78,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,32,1,0,1,1,1,0,0,1,0,1,0,1,0
79,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,-1,0,0,0,1,1,0,0,1,0,1,1,1,0
80,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,32,0,0,0,1,1,0,1,1,0,1,1,1,1
81,0,1,1,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,2,2,3,0,1,1,11,0,0,0,1,0,0,0,0,1,0,1,1,0
82,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,1,0,0,0,1,0,1,1,0,0,1,1,1
83,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,0,0,4,6,2,0,-1,1,0,1,0,1,1,0,0,0,1,1,1,1
84,0,1,1,0,3,3,2,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,16,0,0,1,0,1,1,1,0,0,0,0,1,0
85,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,1,1,0,0,0,1,0,0,1,0,0,0,0
86,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,1,1,1,0,0,0,0,1,1,1,1,1,1
87,0,1,1,0,3,3,2,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,15,0,0,0,0,0,0,0,1,0,1,0,0,0
88,0,0,0,1,4,4,6,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,-1,1,0,0,1,1,1,0,0,1,1,1,1,1
89,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,-1,1,0,0,0,1,1,0,1,0,1,1,1,0
90,0,1,1,0,2,0,5,4,-1,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,0,3,3,5,3,0,1,-1,1,0,1,1,0,0,1,0,0,1,0,1,0
91,0,0,0,1,4,4,6,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,0,0,4,6,2,0,33,1,0,1,1,0,1,1,1,0,0,1,1,1
92,0,1,1,0,3,3,2,3,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,1,1,2,2,2,5,1,1,11,0,0,1,0,0,0,1,0,1,0,1,1,0
93,0,0,0,3,0,1,3,1,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,26,0,1,0,1,0,1,1,1,0,0,1,1,1
94,0,0,0,3,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,3,3,5,2,7,0,-1,1,1,1,1,0,1,1,0,0,0,0,0,1
95,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,-1,0,1,1,0,1,1,1,1,0,1,0,1,1
96,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,0,0,4,6,2,0,30,0,0,0,1,1,0,0,0,0,0,1,1,1
97,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,28,0,0,0,1,1,1,0,1,0,0,1,1,0
98,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,-1,0,1,1,0,1,0,1,0,1,1,0,1,0
99,0,1,1,0,3,3,2,3,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,1,1,2,2,2,5,1,1,-1,1,1,0,0,0,1,0,1,1,0,0,1,1
100,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,1,1,0,0,0,1,1,0,1,0,1,0,1
101,0,1,1,0,3,3,2,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,15,1,1,1,1,0,0,0,0,0,1,0,0,0
102,0,1,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,14,1,1,1,1,0,0,0,0,0,0,0,1,0
103,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,25,0,0,0,0,1,1,0,1,0,1,0,1,1
104,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,1,1,3,0,3,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
105,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,1,1,1,1,6,0,-1,1,0,0,0,1,0,0,1,1,1,1,0,1
106,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,25,0,0,1,0,1,1,1,1,1,0,1,0,0
107,0,1,2,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,2,2,3,0,1,1,10,0,0,1,0,0,0,0,0,1,0,0,1,1
108,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,1,1,3,0,3,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0
109,0,0,0,1,2,5,4,2,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,1,1,1,1,6,0,8,1,1,0,0,0,1,1,1,0,1,1,0,0
110,0,0,0,3,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,3,3,5,2,7,0,20,1,1,1,1,1,0,0,0,1,1,0,0,0
111,0,1,2,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,5,0,1,1,1,1,3,0,3,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
112,0,1,1,0,2,0,5,4,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,0,3,3,5,3,0,1,17,1,1,1,0,0,0,1,1,1,1,1,1,0
113,0,0,0,1,4,4,6,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,0,4,0,4,4,0,35,0,1,0,1,1,1,1,0,0,1,1,0,0
114,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,0,1,1,1,0,1,0,0,0,0,0,1,1
115,0,0,0,1,4,4,1,1,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,4,6,2,0,-1,1,1,1,0,0,0,1,0,0,1,0,1,1
116,0,1,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,1,1,-1,0,1,0,0,1,0,1,1,0,0,0,0,1
117,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,0,0,4,6,2,0,-1,1,1,0,1,1,0,1,1,0,0,1,1,0
118,0,1,1,0,3,3,2,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,2,2,2,5,5,1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1
119,0,1,1,0,2,0,5,4,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,0,3,3,5,3,0,1,18,1,1,1,0,0,0,0,0,0,1,0,0,0
120,0,0,0,3,0,1,3,7,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,28,0,1,0,0,1,1,0,0,0,0,1,1,1
121,0,0,0,3,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,0,3,0,4,2,7,0,27,0,1,0,0,0,1,0,1,0,1,0,1,1
122,0,0,1,3,2,0,5,4,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,0,3,3,5,3,0,0,-1,1,1,0,1,1,0,1,1,1,0,1,0,0
