,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13
10,0,0,2,0,4,2,5,0,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,0,2,2,2,3,1,2,0,2,0,2,2,3
11,0,0,0,3,0,1,2,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,1,3,0,2,1,3,1,0,1,0,1,2
12,0,1,1,2,2,0,4,2,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,2,0,1,4,1,0,0,0,3,1,3,3,3,0,1,3,1,1,0,0
13,0,1,1,2,2,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,3,3,1,1,0,1,1,0,0,2,0,1,2
14,0,0,0,3,0,4,0,7,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,0,4,2,1,6,0,0,1,1,2,2,2,1,2,1,2,0,0,1,2
15,0,1,0,1,3,3,3,3,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,3,1,3,0,2,2,3,1,1,1,1,2
16,0,1,1,1,3,3,1,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,5,2,4,0,0,2,3,3,3,3,3,2,2,0,0,0,2,2
17,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,1,3,2,1,0,1,0,3,1,2,1,3,1
18,0,1,0,1,3,3,3,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,2,2,0,0,3,0,3,0,3,0,0,2,1
19,0,1,1,2,2,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,0,0,2,2,5,2,3,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2
20,0,0,2,0,4,2,5,1,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,1,5,7,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1
21,0,1,0,1,3,3,3,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,1,0,1,0,3,1,0,1,0,3,2,1,3
22,0,0,0,3,0,1,2,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,6,0,0,2,1,3,2,0,0,3,3,0,0,0,0,0
23,0,1,0,1,3,3,3,3,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,3,2,2,3,2,3,1,0,0,1,0,2
24,0,1,1,2,2,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,3,3,0,2,0,0,0,2,2,3,2,1,0
25,0,0,0,3,0,1,2,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,0,2,2,0,1,0,0,3,3,3,1,2,3
26,0,1,1,1,3,3,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,0,1,2,5,2,3,0,0,2,0,1,3,3,3,3,2,0,2,1,1,1
27,0,1,1,2,2,0,6,4,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,2,5,6,3,0,0,0,2,2,0,1,3,3,2,2,0,3,3,3
28,0,0,2,0,4,2,5,0,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,1,3,2,3,3,2,2,2,0,3,0,2,3
29,0,1,0,1,3,3,3,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,2,3,2,1,2,1,2,1,1,2,1,0,2
30,0,1,0,1,3,3,3,7,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,1,3,2,1,6,0,0,2,3,2,1,0,1,3,0,2,2,3,3,1
31,0,0,0,3,0,1,2,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,0,2,3,1,2,2,0,1,2,1,0,1,3
32,0,0,2,0,4,2,5,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,3,2,0,2,1,3,0,3,0,0,0,2,1
33,0,1,1,2,2,0,6,4,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,2,5,2,3,0,0,3,1,1,1,2,1,3,0,0,0,1,3,2
34,0,0,0,3,0,1,2,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,2,3,2,2,2,1,1,0,2,3,3,0
35,0,0,2,0,1,5,0,1,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,3,1,1,5,7,0,0,1,0,2,0,1,2,0,1,2,1,2,0,0
36,0,0,2,0,1,5,4,1,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,1,3,1,1,5,1,0,0,3,3,1,2,1,3,0,3,2,3,3,2,3
37,0,0,0,3,0,1,2,5,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,1,5,2,0,0,2,3,0,2,2,1,3,3,0,2,2,2,0
38,0,0,2,0,4,2,5,0,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,5,7,0,0,0,1,2,1,1,1,1,2,1,1,2,2,0
39,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,2,0,1,2,1,1,0,1,0,1,0,0,2
40,0,1,0,1,3,4,3,7,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,1,3,2,1,6,0,0,1,0,1,0,2,0,3,2,3,1,1,0,2
41,0,0,0,3,0,4,0,7,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,0,4,1,5,6,0,0,1,2,2,1,1,1,1,2,3,3,3,2,2
42,0,0,0,3,0,1,2,5,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,2,0,2,2,2,0,2,1,1,0,3,0
43,0,0,2,0,4,2,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,1,5,7,0,0,3,3,3,2,3,0,2,1,3,2,3,1,1
44,0,1,1,2,1,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,0,2,0,4,4,1,0,0,3,3,2,3,0,2,0,1,2,1,3,1,3
45,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,1,1,3,0,2,3,1,1,3,0,2,1,3
46,0,1,0,1,3,3,3,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,2,3,0,0,1,2,2,2,1,2,1,2,1
47,0,1,1,1,3,3,1,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,5,2,4,0,0,1,2,3,3,2,3,2,1,0,2,3,0,0
48,0,1,0,1,3,3,3,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,1,0,1,2,0,3,0,3,0,2,2,0,3
49,0,1,0,1,3,4,3,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,1,3,1,1,6,0,0,0,0,3,1,0,1,2,3,1,1,1,2,2
50,0,1,0,1,3,3,3,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,2,3,1,0,0,1,0,3,0,3,3,0
51,0,0,2,0,1,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,2,0,4,4,1,0,0,1,0,0,0,2,0,3,3,0,1,0,3,1
52,0,1,0,1,3,3,3,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,2,1,2,0,3,3,3,1,3,1,1,1
53,0,1,1,2,2,0,4,2,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,2,0,1,4,1,0,0,0,0,0,1,1,1,3,3,3,1,2,3,0
54,0,1,0,1,3,3,3,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,2,4,0,0,1,2,2,0,3,1,0,2,2,0,3,0,3
55,0,0,2,0,4,2,5,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,3,3,1,3,3,2,3,3,1,3,3,3,1
56,0,0,2,3,0,4,0,1,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,0,4,1,5,7,0,0,3,3,1,2,3,2,0,0,1,2,3,1,1
57,0,1,1,1,2,0,1,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,0,2,2,5,2,3,0,0,2,1,3,3,2,2,1,1,1,1,0,2,3
58,0,0,2,0,4,2,5,0,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,5,7,0,0,1,3,2,3,0,3,0,1,0,1,0,1,3
59,0,1,1,1,3,4,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,2,2,5,2,3,0,0,0,3,0,2,2,0,0,0,2,2,0,0,1
60,0,1,0,1,3,4,1,2,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,0,1,2,5,2,3,0,0,2,2,0,3,1,1,2,0,2,3,3,0,2
61,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,3,0,3,1,3,2,3,0,3,2,0,0,3
62,0,0,2,3,0,1,0,1,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,0,4,1,5,7,0,0,3,2,2,3,3,2,1,3,2,0,3,0,2
63,0,1,1,2,2,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,2,1,0,2,2,2,0,3,2,3,1,1,2
64,0,0,2,0,1,5,4,6,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,2,0,4,4,1,0,0,1,2,0,1,1,3,0,2,0,0,1,3,3
65,0,1,1,2,1,5,4,6,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,1,1,2,0,4,4,1,0,0,1,3,1,0,1,2,0,0,0,2,3,0,3
66,0,0,0,3,0,1,2,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,1,2,1,3,3,3,3,1,0,2,1,3
67,0,0,0,3,0,1,2,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,3,1,0,1,0,1,3,1,3,1,3,3,3
68,0,1,1,2,1,4,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,2,2,1,5,1,0,0,0,0,3,1,0,3,2,2,0,3,3,1,2
69,0,1,0,1,3,4,3,7,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,1,3,2,1,6,0,0,0,3,1,3,1,1,1,2,2,2,1,3,2
70,0,0,0,3,0,1,2,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,1,0,0,2,2,3,3,0,0,0,0,3
71,0,0,2,3,0,1,2,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,3,2,0,0,2,3,0,3,2,2,3,1,0
72,0,1,1,2,2,0,6,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,0,4,4,3,0,0,0,0,3,3,3,2,1,0,0,3,0,3,3
73,0,1,0,1,3,3,3,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,6,0,0,2,2,1,2,3,1,3,3,0,0,3,1,2
74,0,1,1,1,3,3,1,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,5,2,4,0,0,0,1,1,2,3,3,3,0,0,3,1,3,0
75,0,0,2,0,1,5,4,6,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,1,1,4,1,0,0,0,1,2,2,0,1,0,1,3,1,0,3,2
76,0,0,0,3,0,1,2,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,1,1,3,1,0,3,0,1,2,0,0,1
77,0,0,2,0,1,5,4,6,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,1,3,1,3,4,1,0,0,3,1,1,2,3,0,0,2,0,3,2,0,2
78,0,1,0,1,3,4,1,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,1,3,1,1,6,0,0,1,2,1,2,3,2,1,3,0,3,0,2,1
79,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,2,0,1,3,3,3,0,0,3,0,2,2,2
80,0,0,2,3,0,1,2,5,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,0,2,0,4,0,3,2,0,0,3,2,1,3,2,3,3,1,2,1,3,2,0
81,0,0,0,3,0,4,0,7,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,0,4,1,5,6,0,0,0,2,3,0,3,0,1,3,0,0,1,1,2
82,0,0,2,0,4,2,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,1,5,7,0,0,0,3,2,2,1,3,3,2,0,2,1,3,3
83,0,0,2,0,4,2,5,0,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,5,7,0,0,1,0,3,2,1,0,3,2,3,0,2,2,1
84,0,1,0,3,0,4,3,7,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,0,3,2,1,6,0,0,3,3,0,3,1,1,3,2,0,0,2,0,0
85,0,0,2,0,1,5,4,6,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,1,1,4,1,0,0,2,0,0,1,1,0,1,2,0,0,3,2,1
86,0,0,2,3,4,2,5,1,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,1,1,3,1,1,5,7,0,0,3,2,3,2,3,2,3,2,1,1,1,2,3
87,0,0,2,0,4,2,5,0,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,3,2,3,3,0,0,3,3,2,0,3,3,1
88,0,1,0,1,3,4,3,7,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,1,3,2,1,6,0,0,2,0,0,1,2,1,0,2,1,3,2,0,1
89,0,0,1,2,1,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,2,0,4,4,1,0,0,1,0,3,2,2,3,3,2,3,0,1,3,1
90,0,1,1,1,3,3,1,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,5,2,3,0,0,0,2,0,3,2,1,1,1,0,0,0,1,0
91,0,1,1,2,2,0,6,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,0,4,4,3,0,0,2,2,0,1,3,3,3,2,3,2,2,2,3
92,0,1,1,2,2,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,1,0,0,3,1,1,2,3,1,0,3,3,2
93,0,1,1,1,3,3,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,1,2,5,2,3,0,0,3,2,2,0,2,1,1,0,3,2,2,0,1
94,0,1,0,1,3,3,3,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,3,0,2,1,3,3,1,1,3,2,0,3,0
95,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,2,1,3,2,0,2,1,2,2,0,0,1,3
96,0,1,1,2,2,0,1,2,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,3,2,3,3,1,1,1,3,3,3,0,1,0
97,0,1,0,1,3,3,3,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,1,1,0,0,2,1,1,2,0,1,0,0,1
98,0,0,2,0,4,2,5,0,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,5,7,0,0,0,2,3,3,1,0,3,1,0,0,0,1,1
99,0,1,1,2,2,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,3,2,1,3,3,0,3,2,2,3,1,1,3
100,0,0,2,3,0,1,2,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,1,2,1,3,0,1,2,2,2,1,1,1,1
101,0,0,2,0,1,5,4,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,0,4,4,1,0,0,1,3,2,3,1,2,3,2,2,2,3,3,3
102,0,0,2,0,4,2,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,1,5,7,0,0,3,0,0,0,2,0,2,3,1,2,1,1,1
103,0,0,2,0,4,2,5,1,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,1,5,7,0,0,2,2,1,1,3,1,2,3,2,1,0,3,1
104,0,0,2,0,4,2,5,0,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,0,1,1,1,0,1,1,0,2,2,3,0,1
105,0,0,2,0,4,2,5,0,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,3,0,0,0,0,0,0,0,0,3,1,3,1,1,2,2,3,0
106,0,1,1,2,2,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,2,0,1,3,0,3,3,0,2,3,0,2,2
107,0,1,0,1,3,3,3,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,2,1,0,2,0,2,3,0,3,0,3,1,3
108,0,0,2,0,1,5,0,1,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,3,1,1,5,7,0,0,3,1,2,1,0,2,2,2,1,0,0,1,3
109,0,1,1,1,3,3,1,3,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,1,2,5,2,4,0,0,3,2,2,2,1,1,3,2,2,0,0,2,0
110,0,1,1,2,2,0,1,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,2,5,2,3,0,0,3,1,0,3,2,1,0,1,2,0,2,0,2
111,0,0,2,0,4,2,5,0,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,1,1,3,1,3,5,7,0,0,3,1,0,0,3,0,0,3,1,2,2,3,1
112,0,1,1,2,2,0,6,4,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,6,5,0,0,1,1,2,2,2,2,1,0,3,2,3,2,1
113,0,1,0,1,3,4,0,7,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,0,0,1,3,1,5,6,0,0,3,1,0,0,2,0,3,3,0,1,1,2,3
114,0,1,0,1,3,3,3,7,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,0,0,1,3,2,1,6,0,0,3,2,0,2,0,1,1,1,1,1,0,3,0
115,0,1,0,1,3,3,3,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,0,0,3,3,1,1,0,0,3,2,3,3
116,0,1,1,2,1,5,1,2,58,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,2,0,1,4,1,0,0,2,2,3,0,3,2,0,0,2,0,3,2,2
117,0,1,1,2,2,0,6,4,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,0,4,4,1,0,0,2,3,2,0,2,3,3,2,0,0,2,2,1
118,0,0,0,3,0,1,2,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,2,0,0,2,2,2,3,3,2,2,3,0,2,3,0,3
119,0,1,0,1,3,3,3,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,3,0,0,0,3,2,2,2,1,2,1,1
120,0,1,0,1,3,3,3,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,3,2,1,4,0,0,0,0,0,1,0,1,0,0,0,1,3,2,2
121,0,0,2,0,1,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,2,0,1,4,1,0,0,3,1,3,2,0,0,0,2,0,3,0,0,1
122,0,0,2,3,0,1,2,5,60,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,0,4,0,5,7,0,0,3,2,1,1,2,1,1,3,2,1,2,0,3
