,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13
10,0,0,1,3,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,1,0,2,2,1,4,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1
11,0,1,2,3,0,3,0,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,0,1,1,0,0,2,5,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
12,0,0,0,2,3,2,1,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0
13,0,1,2,3,2,3,6,5,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,5,1,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
14,0,0,1,2,3,4,1,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,0,3,3,3,3,6,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
15,0,1,2,0,2,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,1,0,5,1,3,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1
16,0,0,1,1,4,0,3,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,2,5,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
17,0,1,0,0,1,5,4,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,1,1,5,1,3,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
18,0,0,0,2,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,2,3,3,3,6,2,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
19,0,1,2,3,2,3,6,5,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,0,4,4,0,7,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
20,0,0,1,1,4,4,5,3,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,0,2,2,1,3,6,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0
21,0,1,0,0,1,5,4,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1
22,0,0,1,1,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,2,2,1,4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
23,0,1,0,0,1,5,4,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,2,3,3,3,6,4,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1
24,0,1,2,3,2,1,6,1,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,2,0,4,4,0,7,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
25,0,0,1,1,4,4,5,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,2,5,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
26,0,1,2,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,0,2,2,1,4,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0
27,0,1,0,2,1,5,4,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0
28,0,1,0,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,2,0,4,4,6,4,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1
29,0,0,1,1,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,2,2,1,4,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0
30,0,0,1,1,4,4,5,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,2,5,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1
31,0,1,0,2,1,5,4,6,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,2,3,3,3,6,2,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
32,0,1,0,2,1,5,4,6,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,2,3,3,3,6,2,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
33,0,0,1,1,4,4,5,3,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,0,3,3,3,3,6,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
34,0,0,0,2,3,2,4,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1
35,0,0,1,1,0,0,3,7,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,0,1,1,0,0,2,5,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
36,0,1,2,0,2,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,1,0,5,1,3,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0
37,0,0,1,1,4,4,5,7,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,0,1,1,0,0,2,5,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1
38,0,1,0,0,1,5,4,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,1,1,5,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
39,0,0,1,1,0,0,3,4,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,2,2,1,4,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
40,0,1,2,0,1,1,2,1,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,0,1,1,1,5,1,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0
41,0,1,2,3,2,1,6,1,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,2,0,4,4,0,7,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
42,0,0,0,2,3,2,1,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1
43,0,0,1,1,4,0,3,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,0,2,2,1,4,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
44,0,1,2,0,1,1,2,2,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,2,0,4,4,0,4,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
45,0,1,2,3,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,6,2,0,1,0,2,2,1,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
46,0,0,1,1,4,0,3,3,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,0,2,2,1,3,6,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1
47,0,1,0,0,1,1,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,1,3,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
48,0,0,0,2,3,2,1,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0
49,0,1,0,0,1,5,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,2,0,4,4,6,4,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
50,0,1,0,0,1,5,4,6,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,1,1,2,5,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0
51,0,0,1,2,3,4,1,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,0,3,3,3,3,6,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1
52,0,1,0,0,1,5,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,1,3,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1
53,0,0,0,2,3,2,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,2,3,3,3,6,2,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
54,0,0,0,2,3,2,1,6,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,2,3,3,3,6,2,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0
55,0,1,2,3,0,3,0,5,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,0,2,2,1,4,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0
56,0,1,2,0,1,1,2,1,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,0,1,1,1,5,1,3,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
57,0,0,1,2,4,4,5,0,26,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,1,0,3,3,3,3,6,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
58,0,0,1,1,0,0,3,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,0,2,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
59,0,1,0,0,1,5,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,1,3,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
60,0,1,0,0,1,1,2,2,27,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,2,0,4,4,0,4,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1
61,0,1,2,3,0,3,0,5,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,2,5,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1
62,0,0,0,2,3,2,1,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
63,0,0,1,1,4,4,5,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,2,5,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
64,0,1,2,3,2,1,6,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,1,3,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0
65,0,0,1,1,4,4,5,3,29,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,0,2,2,1,3,6,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
66,0,1,2,3,0,3,0,5,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,0,2,2,1,4,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
67,0,0,1,1,0,0,3,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,2,5,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0
68,0,1,2,3,0,3,0,5,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
69,0,1,2,0,1,1,2,2,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,2,0,4,4,0,4,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
70,0,0,0,2,3,2,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,1,2,3,3,3,6,2,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0
71,0,1,2,0,2,1,2,1,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,2,0,4,4,0,7,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
72,0,1,0,0,1,1,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,1,3,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
73,0,0,1,1,0,0,3,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,0,1,1,0,0,2,5,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
74,0,0,1,2,3,4,1,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,0,3,3,3,3,6,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
75,0,1,0,0,1,5,4,6,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0
76,0,1,2,3,0,3,0,5,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,2,5,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1
77,0,1,0,0,1,5,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,2,0,4,4,6,4,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1
78,0,0,1,3,0,0,0,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,0,1,1,0,0,2,5,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
79,0,1,2,3,2,3,6,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,1,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0
80,0,1,2,0,2,1,6,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,0,1,1,0,5,1,3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
81,0,0,1,1,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,2,2,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
82,0,0,1,1,4,0,3,7,-1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,2,5,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1
83,0,0,1,1,4,0,3,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,0,2,2,1,4,6,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
84,0,1,0,0,1,1,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,1,3,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
85,0,1,2,0,2,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,1,0,5,1,3,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0
86,0,0,0,2,3,2,1,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
87,0,0,0,2,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,0,3,3,3,3,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
88,0,1,0,0,1,5,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,1,1,5,1,3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1
89,0,1,2,3,2,1,6,1,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,2,0,4,4,0,7,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1
90,0,0,1,1,4,0,3,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,0,2,2,1,4,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1
91,0,0,0,2,3,2,1,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
92,0,0,0,2,3,2,4,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
93,0,0,1,1,4,4,5,3,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,0,2,2,1,3,6,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1
94,0,0,1,2,4,4,5,0,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,1,0,3,3,3,3,6,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
95,0,1,0,2,1,5,4,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0
96,0,1,2,3,2,1,6,1,-1,-1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,2,0,4,4,0,7,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1
97,0,0,1,1,4,4,5,3,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,0,1,1,1,2,5,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
98,0,1,2,0,2,1,6,1,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,2,0,4,4,0,7,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
99,0,0,1,1,4,4,5,3,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,0,2,2,1,3,6,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0
100,0,1,0,0,1,5,4,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,2,3,3,3,6,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
101,0,1,0,0,1,1,2,2,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,1,1,5,1,3,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1
102,0,1,2,0,2,1,2,1,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,2,0,4,4,0,4,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1
103,0,0,1,1,4,0,3,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,2,5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
104,0,1,2,3,0,3,0,4,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,0,2,2,1,4,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0
105,0,0,0,2,3,2,1,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0
106,0,1,0,0,1,5,4,6,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,2,3,3,3,6,4,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1
107,0,0,1,1,0,0,3,4,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,2,2,1,4,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
108,0,1,2,3,2,1,6,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,1,3,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1
109,0,0,0,2,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,2,3,3,3,6,2,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1
110,0,1,2,3,0,3,0,5,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,2,5,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
111,0,1,2,3,0,0,0,4,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,0,2,2,1,4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
112,0,0,0,2,3,2,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,2,3,3,3,6,2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
113,0,1,2,3,0,3,0,5,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,0,2,2,1,4,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1
114,0,0,1,1,4,4,5,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,2,5,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1
115,0,0,1,1,4,4,5,7,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,2,5,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1
116,0,0,0,2,3,2,4,6,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,2,5,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0
117,0,1,2,3,2,3,6,5,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,5,1,3,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
118,0,0,1,1,4,4,5,3,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,0,2,2,1,3,6,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0
119,0,0,1,1,4,4,5,3,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,0,3,3,3,3,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
120,0,0,1,1,4,4,5,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,2,5,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
121,0,1,2,3,2,1,6,1,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,2,0,4,4,0,7,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0
122,0,0,0,2,3,2,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,2,3,3,3,6,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
