,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26
12,0,1,2,3,4,4,2,3,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,0,1,1,2,0,2,0,2,2,2,2,0,2,0,2,1,2,0,0,1,2,0,0,0,1,2
13,0,1,2,3,4,4,2,3,-1,2,0,0,0,0,0,0,0,0,1,1,3,4,5,5,7,0,1,1,1,2,3,2,4,1,-1,2,2,2,2,1,2,0,2,2,1,0,0,1,0,1,2,0,1,1,0,0,1,2,2,2,2
14,0,1,2,0,1,1,6,6,-1,3,1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,1,1,3,3,4,6,6,1,-1,1,0,2,0,0,2,2,1,2,1,1,2,1,1,2,2,0,2,1,0,2,0,2,1,1,2
15,0,1,2,0,1,1,6,6,-1,-1,-1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,1,1,3,3,4,6,6,1,-1,1,2,0,0,0,1,1,0,0,1,0,2,2,1,1,1,2,0,2,1,2,2,2,0,2,0
16,0,1,2,0,1,1,6,6,4,4,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,1,1,3,3,4,6,6,1,-1,1,2,0,2,0,2,2,2,0,0,2,1,0,2,2,1,0,0,1,0,1,1,2,1,2,0
17,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,0,2,2,0,1,0,0,0,2,2,1,2,2,0,2,2,2,1,1,1,1,0,0,1,1,2
18,0,1,2,0,1,1,6,6,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,1,1,3,3,4,6,6,1,-1,0,0,0,1,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,0,1,1,2,0,0,0
19,0,1,2,0,1,1,3,1,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,6,0,1,1,3,3,4,6,6,1,-1,0,2,2,2,1,0,2,2,2,0,1,0,2,0,2,1,1,0,1,1,0,2,0,0,0,1
20,0,1,2,0,1,1,3,1,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,4,3,3,1,0,0,1,1,0,2,2,0,2,0,1,1,2,2,0,1,1,2,1,0,1,1,2,2,0,2,0
21,0,1,2,0,1,1,3,1,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,4,6,6,1,0,1,0,2,0,0,2,0,0,0,0,1,1,1,1,0,2,2,2,0,1,1,0,2,0,0,0
22,0,1,2,3,4,4,3,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,1,2,1,0,0,2,0,2,1,0,1,1,0,1,1,2,1,2,0,1,1,0,0,2,1,1
23,0,1,2,3,4,4,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,1,1,2,0,1,1,1,0,0,2,2,0,2,1,2,1,2,1,2,1,1,0,1,2,1,0
24,0,1,2,3,4,4,2,3,-1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,-1,1,1,2,0,0,2,2,2,2,0,0,0,1,1,2,0,1,1,1,1,0,2,1,0,0,1
25,0,1,2,3,4,4,2,3,2,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,2,1,2,0,0,1,1,0,2,1,1,1,1,2,2,0,1,2,2,1,2,1,1,0,0,1
26,0,1,2,3,4,4,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,2,1,2,0,1,0,2,2,2,1,0,2,2,2,1,1,1,0,2,0,0,1,2,1,2,2
27,0,1,2,0,1,1,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,0,1,2,1,2,1,1,1,2,1,1,2,0,1,1,0,0,1,2,2,0,2,2,1,1,2
28,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,1,2,0,1,1,1,0,2,2,0,1,1,2,0,1,1,2,2,0,0,2,1,0,2,1,2
29,0,1,2,3,4,4,2,3,1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,1,0,2,2,1,0,2,1,2,0,1,2,2,1,2,0,1,1,1,0,1,2,2,1,1,0
30,0,1,2,3,4,4,2,3,1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,2,1,2,0,1,1,1,2,2,2,0,0,1,2,0,1,2,0,0,1,1,0,1,2,2,0
31,0,1,2,0,1,1,3,1,6,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,4,3,6,1,0,2,0,2,0,2,0,2,1,1,0,0,0,0,1,2,2,0,1,2,2,0,0,0,2,1,1
32,0,1,2,0,1,1,6,6,4,4,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,1,1,3,3,4,6,6,1,-1,0,2,0,1,2,1,2,1,2,2,2,2,1,1,0,0,0,0,1,2,2,0,2,2,1,2
33,0,1,2,0,1,1,6,6,-1,3,1,1,0,0,0,0,0,0,1,1,3,1,0,1,0,0,1,1,3,3,4,6,6,1,-1,0,0,0,1,0,1,0,1,1,0,1,2,1,0,2,2,1,1,0,1,1,2,0,2,1,0
34,0,1,2,3,4,4,2,3,2,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,0,0,0,0,0,0,2,0,1,1,0,1,0,2,1,2,0,1,0,0,2,1,0,1,0,0
35,0,1,2,3,4,4,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,2,0,0,1,2,0,0,2,1,1,2,0,2,1,2,2,0,1,2,1,0,1,0,1,2,0
36,0,1,2,0,1,1,3,1,7,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,1,1,3,3,4,6,6,1,-1,1,0,2,0,0,2,1,0,1,1,2,1,1,1,1,1,1,2,2,0,1,1,0,0,0,0
37,0,1,2,0,1,1,3,1,8,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,1,1,0,0,1,1,2,0,1,1,1,1,1,1,2,1,1,1,0,2,0,0,2,0,0,1
38,0,1,2,3,4,4,2,3,-1,2,0,0,0,0,0,0,0,0,1,1,3,4,5,5,7,0,1,1,1,2,3,2,4,1,-1,0,0,1,0,1,0,2,2,2,0,0,0,1,0,2,1,2,2,2,1,2,1,2,1,0,1
39,0,1,2,0,1,1,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,0,0,0,0,0,2,1,1,1,2,2,1,1,0,2,1,0,1,0,2,2,2,0,0,0,2
40,0,1,2,0,1,1,3,1,8,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,0,1,0,2,0,0,0,0,2,0,2,2,0,2,0,1,2,2,2,0,2,0,1,1,0,0,2
41,0,1,1,3,3,3,4,4,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,3,4,4,5,7,0,1,0,1,2,3,2,4,1,-1,0,2,2,2,2,2,2,1,2,1,2,1,2,1,2,0,0,1,0,2,0,0,2,0,1,1
42,0,1,2,3,4,4,2,3,-1,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,2,0,1,0,2,1,1,0,2,0,2,1,2,2,1,0,0,0,2,2,1,0,1,1,0,1
43,0,1,2,3,4,4,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,0,0,0,1,0,0,1,1,2,2,1,2,1,2,1,1,0,0,2,0,2,0,0,2,0,0
44,0,1,2,0,1,1,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,4,6,6,1,0,1,1,2,2,2,1,2,2,0,1,1,0,1,1,0,0,1,0,2,0,1,2,0,0,2,0
45,0,1,2,3,4,4,2,3,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,2,1,2,1,1,0,2,0,2,0,1,2,2,1,1,2,1,2,1,1,0,0,0,0,1,1
46,0,1,2,0,1,1,3,1,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,6,0,1,1,3,3,4,6,6,1,-1,1,0,2,0,2,2,2,2,1,2,2,2,1,0,2,2,0,2,1,2,1,1,2,1,2,1
47,0,1,2,3,4,4,2,3,3,1,0,0,0,0,0,0,0,0,1,1,3,4,5,0,7,0,1,1,1,2,3,2,4,1,1,2,0,2,0,0,2,1,0,1,0,2,0,0,0,1,1,2,0,1,0,2,0,1,1,2,1
48,0,1,2,0,1,1,3,1,7,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,6,0,1,1,3,3,4,6,6,1,-1,0,0,0,0,2,1,2,2,1,2,1,1,0,2,1,2,2,1,0,0,2,1,0,0,2,1
49,0,1,2,3,4,4,3,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,3,3,0,1,1,3,3,0,3,3,1,-1,1,0,1,0,0,2,2,2,1,2,1,1,0,1,0,2,0,2,1,0,0,1,0,0,0,0
50,0,0,0,1,2,5,0,2,-1,-1,-1,2,1,1,1,1,1,0,0,0,0,2,2,6,5,0,0,2,2,0,1,0,5,0,-1,0,0,2,0,2,0,0,2,2,0,1,2,2,0,1,2,2,2,0,1,0,2,2,1,0,1
51,0,0,0,1,2,5,0,2,9,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,0,2,2,2,1,0,2,0,2,2,1,2,0,2,2,0,1,0,1,2,2,0,1,0,2,0
52,0,0,0,1,2,5,0,2,-1,-1,2,2,1,1,1,1,1,0,0,0,0,2,2,6,5,0,0,2,2,0,1,0,2,0,5,1,0,2,2,0,2,2,0,0,0,0,2,2,2,1,1,0,2,2,0,1,2,2,0,1,0
53,0,0,1,2,3,3,4,4,-1,-1,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,-1,0,2,0,1,1,1,1,1,2,1,0,1,0,1,0,0,2,2,2,0,2,1,1,0,1,2
54,0,0,0,1,0,5,0,7,-1,-1,2,2,1,1,1,1,1,0,0,0,1,2,3,2,5,0,0,2,2,4,2,1,2,0,-1,0,1,1,2,2,1,2,2,0,0,1,1,0,2,1,2,1,1,2,0,2,0,0,1,1,2
55,0,0,1,2,0,0,1,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,0,0,0,1,5,5,7,0,-1,1,1,0,1,0,0,0,1,1,1,1,0,0,2,0,1,2,0,2,0,0,1,1,1,2,0
56,0,0,0,1,2,5,0,2,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,1,2,0,0,1,2,2,1,2,1,1,0,2,0,1,0,0,0,0,0,0,2,2,1,2,1
57,0,0,1,2,3,3,4,4,10,7,3,3,2,1,1,1,1,0,0,2,2,3,4,4,2,0,0,0,0,1,5,4,0,0,-1,2,1,2,1,0,1,1,1,2,2,0,1,1,0,0,1,2,0,0,1,2,2,0,1,1,0
58,0,0,0,1,2,5,0,2,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,1,2,0,1,0,0,1,1,1,1,2,2,0,2,0,0,0,2,1,1,1,1,2,1,0,2
59,0,0,1,2,3,3,4,0,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,-1,1,2,1,2,0,0,1,0,2,0,0,0,2,2,1,2,0,0,2,1,0,0,0,0,1,1
60,0,0,1,2,3,3,4,4,-1,-1,-1,-1,-1,1,1,1,1,0,0,2,2,3,4,4,2,0,0,0,0,1,5,4,0,0,-1,0,0,2,1,1,1,1,0,0,2,1,0,1,2,0,0,2,2,2,1,1,2,1,0,0,1
61,0,0,1,2,0,0,1,7,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,-1,1,2,0,2,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,2,1,2,2,1,0,0
62,0,0,1,2,3,0,4,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,2,2,2,1,1,2,1,2,0,2,0,1,2,1,2,0,2,0,2,1,0,1,2,2,1,1,2
63,0,0,1,2,0,0,1,7,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,4,0,1,1,1,2,0,1,2,1,0,2,2,0,2,1,2,1,1,0,2,1,2,0,1,2,2
64,0,0,1,2,0,0,1,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,2,2,2,0,2,0,1,2,1,1,0,1,2,1,1,2,2,2,2,1,1,0,1,0,1,2
65,0,0,0,1,2,5,0,2,-1,10,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,2,1,1,0,0,1,2,1,1,0,0,2,1,2,1,0,2,1,0,1,2,2,0,1,0,1
66,0,0,1,2,0,0,1,0,12,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,0,2,0,0,2,0,2,0,1,2,2,0,2,2,2,1,2,2,2,1,0,1,1,2,0,0
67,0,0,1,2,0,0,1,0,13,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,0,0,2,0,0,0,1,2,0,2,2,0,0,0,0,1,2,1,2,2,0,0,0,1,1,1
68,0,0,1,2,0,0,1,0,-1,11,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,-1,0,0,2,2,1,0,0,0,1,2,1,2,0,2,1,2,2,2,2,2,0,1,0,1,2,2
69,0,0,1,2,3,3,4,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,2,2,0,2,2,0,1,0,0,2,0,2,2,0,0,1,1,2,0,2,2,0,1,2,1,1,2
70,0,0,1,2,0,0,1,7,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,4,2,2,2,1,1,0,0,1,0,2,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1
71,0,0,1,2,0,0,1,7,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,-1,1,2,2,1,0,2,2,1,2,0,0,1,0,1,2,1,2,1,2,1,0,0,1,0,1,1
72,0,0,1,2,0,0,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,4,2,1,1,0,-1,1,1,1,2,2,0,1,2,1,0,1,0,1,1,0,1,1,2,1,1,0,1,0,1,0,2
73,0,0,1,2,0,0,1,7,14,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,4,1,0,1,1,1,0,0,0,2,1,2,0,1,0,1,0,0,2,2,0,0,1,0,1,2,2
74,0,0,0,1,2,5,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,3,2,5,0,0,2,2,0,1,0,2,0,-1,1,1,1,1,1,1,2,0,2,0,0,1,2,1,1,0,2,0,2,0,2,1,0,2,2,0
75,0,0,0,1,2,5,0,2,9,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,2,2,0,0,2,2,0,0,0,0,2,2,1,2,2,0,0,1,0,2,1,2,0,1,0,2
76,0,0,0,1,2,5,0,2,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,1,0,1,0,2,2,2,0,2,2,1,1,1,0,2,2,0,1,2,0,0,0,2,0,2,1
77,0,0,0,1,2,5,0,2,15,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,2,1,1,0,2,1,1,0,2,1,2,0,0,2,1,0,2,1,0,2,2,0,0,2,1,2
78,0,0,1,2,0,0,1,7,14,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,4,0,1,1,2,2,0,0,2,2,1,2,2,1,0,1,2,1,0,0,2,1,0,2,2,0,1
79,0,0,1,2,0,0,1,0,-1,-1,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,0,0,0,1,5,5,7,0,-1,2,2,2,0,0,0,0,0,2,2,2,2,0,0,0,1,2,1,1,2,0,1,0,1,1,0
80,0,0,1,2,3,3,4,0,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,-1,0,2,0,0,1,1,2,0,0,0,0,0,1,2,0,1,1,0,2,2,0,1,0,2,2,2
81,0,0,1,2,3,3,4,0,11,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,2,0,1,1,1,1,1,2,2,0,0,1,1,2,2,2,1,0,0,1,2,0,1,1,0,1,1
82,0,0,1,2,0,0,1,0,13,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,1,1,1,1,1,2,0,1,0,0,1,1,2,2,0,2,2,1,2,0,0,0,0,1,2,2
83,0,0,1,2,0,0,1,0,-1,9,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,0,0,0,1,5,4,0,0,-1,2,0,1,2,0,0,0,0,0,0,2,2,2,1,2,2,2,0,0,0,2,1,0,0,2,2
84,0,0,1,2,0,0,1,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,0,0,0,1,5,5,7,0,-1,0,1,2,1,2,1,2,2,1,1,1,0,1,2,0,1,0,0,1,0,1,2,0,1,2,2
85,0,0,0,1,2,5,0,7,-1,5,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,1,2,1,1,0,2,2,2,2,0,1,2,2,0,0,0,1,2,1,2,1,0,2,0,2,1
86,0,0,0,1,2,5,0,2,-1,10,2,2,1,1,1,1,1,0,0,0,1,2,2,2,5,0,0,2,2,0,1,0,2,0,5,0,2,2,1,0,1,2,0,2,1,1,1,2,2,0,2,2,2,1,1,0,1,2,0,1,1
87,0,0,1,2,0,0,1,0,12,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,0,1,2,2,0,1,2,1,0,0,0,1,0,2,1,0,2,0,0,0,0,2,2,1,1,1
88,0,0,1,2,0,0,1,0,16,6,2,2,1,1,1,1,1,0,0,2,2,3,3,4,1,0,0,0,0,1,5,5,7,0,3,2,1,1,1,2,0,2,0,2,1,2,2,0,2,0,1,0,2,0,2,0,0,0,0,1,2
89,0,0,1,2,3,3,4,0,-1,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,2,1,0,1,1,0,2,2,0,0,2,0,1,0,1,2,1,1,1,2,2,0,0,0,2,1,2
90,0,0,1,2,3,3,4,0,-1,8,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,2,0,2,2,2,0,0,0,2,1,2,2,2,1,0,2,0,0,1,1,1,0,0,2,0,0,0
91,0,0,1,2,0,0,1,7,-1,9,2,2,1,1,1,1,1,0,0,2,1,3,3,2,1,0,0,0,0,4,2,1,1,0,4,1,2,2,1,2,2,0,0,1,0,1,1,1,1,0,2,0,0,0,2,1,1,0,1,1,2
92,0,0,1,2,0,0,1,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,1,0,0,0,0,1,5,5,7,0,3,1,0,2,1,2,1,2,1,2,1,1,1,1,0,0,1,2,0,0,1,2,2,1,1,1,2
93,0,0,1,2,3,3,4,4,10,7,3,3,2,1,1,1,1,0,0,2,2,3,4,4,2,0,0,0,0,1,5,4,0,0,-1,1,1,0,0,0,2,0,2,2,1,0,1,2,1,1,1,1,1,0,1,0,0,1,1,2,1
94,0,0,1,2,0,0,1,0,-1,6,2,2,1,1,1,1,1,0,0,2,2,3,1,4,2,0,0,0,0,1,5,4,0,0,-1,1,1,0,0,2,0,1,1,1,2,1,1,1,1,2,0,2,0,1,1,2,1,0,0,0,2
