,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21
10,0,1,2,0,2,5,0,1,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,0,2,3,2,5,2,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
11,0,0,2,0,2,5,5,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,1,1,0,3,6,5,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0
12,0,1,0,1,4,3,1,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1
13,0,0,2,0,1,2,2,2,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,0,4,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
14,0,1,1,1,4,0,6,3,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,0,3,2,0,1,7,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
15,0,0,2,2,1,1,2,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,0,4,0,4,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1
16,0,1,1,3,0,5,0,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,0,3,6,5,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
17,0,0,0,2,3,4,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,4,4,0,4,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1
18,0,1,0,1,4,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,2,3,2,0,3,3,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
19,0,0,2,0,1,2,2,2,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,0,1,5,4,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1
20,0,1,1,3,0,0,4,5,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,0,2,3,2,1,7,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1
21,0,0,0,2,3,4,1,4,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1
22,0,1,1,3,2,5,0,1,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,0,2,3,2,5,2,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
23,0,0,0,2,3,4,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,3,2,0,3,6,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1
24,0,0,2,0,1,2,2,2,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,0,1,5,4,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0
25,0,1,1,3,0,0,4,5,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,4,1,2,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
26,0,0,2,0,2,2,5,7,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,2,3,2,5,2,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
27,0,0,0,2,3,4,1,4,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
28,0,0,0,2,3,4,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,0,1,5,3,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
29,0,1,1,3,2,5,0,1,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,0,2,3,2,5,2,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
30,0,1,1,3,0,0,4,5,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
31,0,0,0,1,3,4,1,0,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,2,3,2,0,3,3,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0
32,0,0,0,1,3,4,1,0,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,2,3,2,0,3,3,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1
33,0,1,1,3,0,0,4,5,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,0,3,2,0,1,7,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
34,0,1,0,1,4,3,1,4,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,0,1,1,3,2,5,0,1,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,1,1,1,0,3,6,5,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1
36,0,0,2,2,1,1,3,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,0,4,0,4,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
37,0,1,1,3,0,0,4,5,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,1,1,1,0,3,6,5,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
38,0,0,0,2,3,4,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,4,4,0,4,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0
39,0,1,1,3,2,5,0,1,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,0,2,3,2,5,2,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
40,0,0,0,2,3,1,3,4,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,1,1,4,4,0,4,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1
41,0,0,2,0,1,2,2,2,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,0,1,5,4,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0
42,0,1,0,1,4,3,6,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
43,0,1,1,3,0,5,0,1,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,0,2,3,2,5,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
44,0,0,0,2,3,1,3,6,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,2,0,1,5,4,6,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0
45,0,0,2,0,2,5,5,7,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,6,2,0,0,0,2,3,2,5,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
46,0,1,1,3,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,0,2,3,2,1,7,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1
47,0,0,0,2,3,1,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,4,4,0,4,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
48,0,1,1,1,4,3,6,3,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
49,0,0,0,2,3,4,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,0,1,5,3,6,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0
50,0,0,0,2,3,4,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,1,1,4,4,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0
51,0,1,1,1,4,0,6,3,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,0,3,2,0,1,7,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
52,0,0,0,2,3,4,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,4,4,0,4,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0
53,0,1,0,1,4,3,6,3,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,2,3,2,0,3,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1
54,0,1,0,1,4,3,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,2,3,2,0,3,3,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
55,0,0,2,0,2,2,5,7,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,0,2,3,2,5,2,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0
56,0,0,0,2,3,1,3,4,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,1,1,4,4,0,4,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0
57,0,1,1,1,0,0,6,5,26,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,0,3,2,0,1,7,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1
58,0,1,1,3,2,5,0,1,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,0,2,3,2,5,2,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1
59,0,0,0,2,3,4,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,4,4,0,4,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1
60,0,0,0,2,3,1,3,6,27,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,2,0,1,5,4,6,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
61,0,0,2,0,2,2,5,7,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,0,3,6,5,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1
62,0,1,0,1,4,3,1,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0
63,0,1,1,3,0,0,4,5,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,4,1,2,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
64,0,0,2,0,1,1,2,2,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,1,1,0,4,0,4,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0
65,0,1,1,3,0,0,4,5,29,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,0,2,3,2,1,7,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
66,0,0,2,0,2,2,5,7,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,0,2,3,2,5,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1
67,0,1,1,3,2,5,0,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,0,3,6,5,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
68,0,0,2,0,2,2,5,7,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,0,3,6,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
69,0,0,0,2,3,1,3,6,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,2,0,1,5,4,6,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
70,0,1,0,1,4,3,6,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,0,2,3,2,0,3,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0
71,0,0,2,2,1,1,2,6,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,2,0,1,5,4,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0
72,0,0,0,2,3,1,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,4,4,0,4,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1
73,0,1,1,3,2,5,0,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,1,1,0,3,6,5,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1
74,0,1,1,1,4,0,6,3,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,0,3,2,0,1,7,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
75,0,0,0,2,3,4,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,1,1,4,4,2,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1
76,0,0,2,0,2,2,5,7,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,0,3,6,5,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0
77,0,0,0,2,3,4,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,0,1,5,3,6,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
78,0,0,2,0,2,5,5,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,1,1,0,3,6,5,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0
79,0,0,2,0,1,2,2,2,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,1,1,0,4,0,4,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0
80,0,0,2,2,1,1,2,2,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,1,1,1,0,4,0,4,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
81,0,1,1,3,2,5,0,1,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,0,2,3,2,5,2,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1
82,0,1,1,3,0,5,0,1,-1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,0,3,6,5,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1
83,0,1,1,3,0,5,0,1,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,0,2,3,2,5,7,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0
84,0,0,0,2,3,1,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,4,4,0,4,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1
85,0,0,2,2,1,1,3,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,0,4,0,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1
86,0,1,1,1,4,3,6,3,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1
87,0,1,0,1,4,3,6,3,6,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,0,3,2,0,1,3,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
88,0,0,0,2,3,4,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,4,4,0,4,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
89,0,0,2,0,1,1,2,2,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,0,1,5,4,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0
90,0,1,1,3,0,5,0,1,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,0,2,3,2,5,7,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0
91,0,1,0,1,4,3,6,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
92,0,1,0,1,4,3,1,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,4,1,2,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1
93,0,1,1,3,0,0,4,5,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,0,2,3,2,1,7,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
94,0,1,1,1,0,0,4,5,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,0,3,2,0,1,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
95,0,0,0,1,3,4,1,4,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,4,1,2,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1
96,0,0,2,0,1,1,2,2,-1,-1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,0,1,5,4,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0
97,0,1,1,3,0,0,4,5,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,1,1,1,4,1,2,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
98,0,0,2,2,1,1,2,2,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,2,0,1,5,4,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1
99,0,1,1,3,0,0,4,5,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,0,2,3,2,1,7,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1
100,0,0,0,2,3,4,3,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,3,2,0,3,6,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
101,0,0,0,2,3,1,3,4,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,1,1,1,4,4,0,4,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1
102,0,0,2,2,1,1,3,6,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,2,0,1,5,4,6,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
103,0,1,1,3,0,5,0,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,0,3,6,5,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1
