,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n0
22,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,0
23,0,0,0,3,2,0,4,6,-1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,0
24,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,1
25,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
26,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
27,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,2
28,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,1,0,2,3,3,1,2,0
29,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,1
30,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,1
31,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
32,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,0
33,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,0,1,0,2,3,3,1,2,1
34,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,1
35,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,1
36,0,0,0,3,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,0,3,4,3,2,5,1,2,0
37,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
38,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
39,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,2,1,2,2
40,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,2
41,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,1,0,2,3,3,1,2,0
42,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,2,4,6,1,0,1,2
43,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,0
44,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
45,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
46,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,1
47,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,1
48,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,2
49,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,1,0,2,3,3,1,2,0
50,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,0
51,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,5,1,2,1
52,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
53,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,1
54,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,2
55,0,0,0,3,2,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,2,6,0,0,0,3,4,3,2,5,1,2,2
56,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,1,1,0,2,4,6,1,0,1,0
57,0,0,0,3,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,0,3,4,3,2,5,1,2,1
58,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,1
59,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,1,0,2,3,3,1,2,1
60,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,0,1,0,2,3,3,1,2,1
61,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
62,0,0,0,1,4,4,2,3,3,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,0,1,0,2,3,3,1,2,2
63,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
64,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,0
65,0,1,1,0,3,3,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,2
66,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,1
67,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,0
68,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,4,4,0,1,1
69,0,0,2,2,1,5,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,2,4,4,4,0,1,2
70,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
71,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,0
72,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,4,6,1,0,1,2
73,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,0,3,4,3,2,5,1,2,0
74,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
75,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,4,4,0,1,0
76,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,2,4,6,1,0,1,0
77,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
78,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,0
79,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
80,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,4,4,0,1,0
81,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,2
82,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,1
83,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,1,0,2,3,3,1,2,1
84,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,2,1,2,1
85,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,0
86,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,1
87,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,1
88,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,1
89,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,0
90,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,1
91,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,2,1,2,2
92,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,0
93,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,4,6,1,0,1,1
94,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,4,4,0,1,2
95,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
96,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,2
97,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,2,4,6,1,0,1,0
98,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,3,4,3,2,5,1,2,1
99,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,2
100,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
101,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,1
102,0,1,1,0,0,1,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
103,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,3,4,3,2,5,1,2,1
104,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,1
105,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,1,0,2,3,3,1,2,0
106,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
107,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,1,0,2,3,3,1,2,2
108,0,0,2,2,1,5,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,2,4,6,1,0,1,2
109,0,0,0,3,2,0,4,6,4,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,2,1,2,2
110,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,3,4,3,2,5,1,2,1
111,0,0,0,3,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,3,4,3,2,2,1,2,2
112,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,4,4,0,1,2
113,0,0,0,3,2,0,4,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,2
114,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,4,4,4,0,1,2
115,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,2,1,2,2
116,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,0
117,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,5,1,2,1
118,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,2
119,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,2
120,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,3,4,3,2,5,1,2,1
121,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
122,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,2,4,6,1,0,1,1
123,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,1,0,2,3,3,1,2,0
124,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
125,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
126,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,0
127,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,5,1,2,2
128,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
129,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,1,1,0,2,4,6,1,0,1,0
130,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,1,1,0,2,4,6,1,0,1,2
131,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,0
132,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,2,4,4,4,0,1,2
133,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
134,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,2
135,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,1,0,2,3,3,1,2,0
136,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,0
137,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
138,0,0,0,3,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,0,3,4,3,2,2,1,2,1
139,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,2
140,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,5,1,2,0
141,0,0,2,2,1,2,3,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,1
142,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
143,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
144,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,2
145,0,0,2,2,1,5,3,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,2,4,6,1,0,1,1
146,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,0
147,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,0
148,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,0
149,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,0
150,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
151,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,4,6,1,0,1,2
152,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,0
153,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,0,7,2,0,0
154,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,0
155,0,0,0,1,4,4,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,0,1,0,2,3,3,1,2,1
156,0,0,2,2,1,2,0,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,2,4,4,4,0,1,2
157,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,7,0,1,1,0,2,1,5,6,0,1,0
158,0,0,0,3,2,0,6,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,0,3,4,3,2,5,1,2,0
159,0,0,0,3,2,0,4,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,0,3,4,3,2,2,1,2,1
160,0,0,0,1,4,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,0,3,4,3,2,5,1,2,0
161,0,1,1,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,2
162,0,0,2,2,1,2,0,5,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,2,1,5,6,0,1,1
163,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,3,5,0,7,2,0,1
164,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,0,1,0,2,0,1
